"scenario","n_per_arm","design_wr","buysetest_wr","buysetest_p","buysetest_reject","disjoint_wins","disjoint_losses","disjoint_neutral","disjoint_wr","adaptive_reject","adaptive_crossing","adaptive_final_evalue","fixed_reject","fixed_crossing","fixed_final_evalue","sim"
"null",250,1.3,1.00288415318058,0.488400215465905,FALSE,128,122,0,1.04918032786885,FALSE,NA,0.294103536519265,FALSE,NA,0.257210685510536,1
"null",250,1.3,0.97198207862687,0.613833989494968,FALSE,123,127,0,0.968503937007874,FALSE,NA,0.10283821089343,FALSE,NA,0.0692743158396566,2
"null",250,1.3,0.944133383103148,0.715323472134803,FALSE,123,127,0,0.968503937007874,FALSE,NA,0.268084716172917,FALSE,NA,0.0692743158396566,3
"null",250,1.3,1.15235209036435,0.0760537674794476,FALSE,145,105,0,1.38095238095238,FALSE,NA,8.07065235133302,TRUE,250,22.2497940857534,4
"null",250,1.3,1.05173658984965,0.307872148521568,FALSE,125,125,0,1,FALSE,NA,0.241232220216331,FALSE,NA,0.11707359376902,5
"null",250,1.3,0.980919780672562,0.576810327603866,FALSE,130,120,0,1.08333333333333,FALSE,NA,0.33904893883363,FALSE,NA,0.434686058512806,6
"null",250,1.3,1.00019201843377,0.49922040253109,FALSE,127,123,0,1.03252032520325,FALSE,NA,0.243449756715946,FALSE,NA,0.197854373469643,7
"null",250,1.3,1.16255492889519,0.0673385344360593,FALSE,137,113,0,1.21238938053097,FALSE,NA,0.368253693318009,FALSE,NA,2.72759055322538,8
"null",250,1.3,0.953491279614928,0.685115199225168,FALSE,122,128,0,0.953125,FALSE,NA,0.293862902999249,FALSE,NA,0.0532879352612743,9
"null",250,1.3,0.983182611454863,0.568335643767933,FALSE,126,124,0,1.01612903225806,FALSE,NA,0.294885681766615,FALSE,NA,0.152195671899726,10
"null",250,1.3,0.962323390894819,0.650696193334722,FALSE,118,132,0,0.893939393939394,FALSE,NA,0.383982196391051,FALSE,NA,0.0186575873608327,11
"null",250,1.3,0.892505677517032,0.87544080003565,FALSE,126,124,0,1.01612903225806,FALSE,NA,0.196586199268334,FALSE,NA,0.152195671899725,12
"null",250,1.3,0.845672267666775,0.952615358638721,FALSE,115,135,0,0.851851851851852,FALSE,NA,0.47591801267861,FALSE,NA,0.00849230193938675,13
"null",250,1.3,1.02180312489891,0.413882880570583,FALSE,126,124,0,1.01612903225806,FALSE,NA,0.325799660945617,FALSE,NA,0.152195671899726,14
"null",250,1.3,1.04321815031547,0.334043302535098,FALSE,134,116,0,1.1551724137931,FALSE,NA,0.615840956530707,FALSE,NA,1.24150685171843,15
"null",250,1.3,1.02632602775256,0.396173103949578,FALSE,126,124,0,1.01612903225806,FALSE,NA,0.305258272472768,FALSE,NA,0.152195671899726,16
"null",250,1.3,1.01327148563329,0.447608032396676,FALSE,126,124,0,1.01612903225806,FALSE,NA,0.186311896860108,FALSE,NA,0.152195671899725,17
"null",250,1.3,1.13740980130638,0.0984407990846357,FALSE,127,123,0,1.03252032520325,FALSE,NA,0.292839298718503,FALSE,NA,0.197854373469643,18
"null",250,1.3,1.05700368615061,0.287983348478812,FALSE,130,120,0,1.08333333333333,FALSE,NA,0.0994858195496814,FALSE,NA,0.434686058512806,19
"null",250,1.3,1.2101987410708,0.027698814270778,TRUE,131,119,0,1.10084033613445,FALSE,NA,0.409077623254198,FALSE,NA,0.565091876066649,20
"null",250,1.3,1.10806799784134,0.151109559683869,FALSE,129,121,0,1.06611570247934,FALSE,NA,0.109819978818737,FALSE,NA,0.334373891163697,21
"null",250,1.3,0.994511105437835,0.522043858676287,FALSE,122,128,0,0.953125,FALSE,NA,0.167803358269552,FALSE,NA,0.0532879352612743,22
"null",250,1.3,1.03318152244632,0.371526474915773,FALSE,131,119,0,1.10084033613445,FALSE,NA,0.382478411224206,FALSE,NA,0.565091876066649,23
"null",250,1.3,1.09303104383644,0.18753562078906,FALSE,130,120,0,1.08333333333333,FALSE,NA,0.302191133073878,FALSE,NA,0.434686058512807,24
"null",250,1.3,1.09282078757032,0.18529618693248,FALSE,128,122,0,1.04918032786885,FALSE,NA,0.307624275409352,FALSE,NA,0.257210685510536,25
"null",250,1.3,1.05659756498848,0.288625214538699,FALSE,129,121,0,1.06611570247934,FALSE,NA,0.250198431070891,FALSE,NA,0.334373891163697,26
"null",250,1.3,0.945464732615327,0.714029264859065,FALSE,126,124,0,1.01612903225806,FALSE,NA,0.329757204147255,FALSE,NA,0.152195671899726,27
"null",250,1.3,0.846708426899894,0.951760766290765,FALSE,119,131,0,0.908396946564885,FALSE,NA,0.188051232952309,FALSE,NA,0.0242548635690825,28
"null",250,1.3,1.10084033613445,0.167487013507016,FALSE,133,117,0,1.13675213675214,FALSE,NA,0.426729160860291,FALSE,NA,0.955005270552638,29
"null",250,1.3,1.02862799831218,0.387571135213726,FALSE,130,120,0,1.08333333333333,FALSE,NA,0.343361637382325,FALSE,NA,0.434686058512806,30
"null",250,1.3,0.894111585901749,0.868029253638161,FALSE,120,130,0,0.923076923076923,FALSE,NA,0.255716973613843,FALSE,NA,0.0315313226398072,31
"null",250,1.3,0.900446985130903,0.853387855493537,FALSE,122,128,0,0.953125,FALSE,NA,0.313984977142395,FALSE,NA,0.0532879352612743,32
"null",250,1.3,1.04918032786885,0.31565868187388,FALSE,138,112,0,1.23214285714286,FALSE,NA,1.26208381931643,FALSE,NA,3.545867719193,33
"null",250,1.3,0.891932798546996,0.873818950760111,FALSE,114,136,0,0.838235294117647,TRUE,50,0.0463462077945701,FALSE,NA,0.00653253995337442,34
"null",250,1.3,0.883267544520445,0.892003523035452,FALSE,126,124,0,1.01612903225806,FALSE,NA,0.111649179825002,FALSE,NA,0.152195671899726,35
"null",250,1.3,0.949834654021339,0.697441979622658,FALSE,133,117,0,1.13675213675214,FALSE,NA,0.561719819080864,FALSE,NA,0.955005270552637,36
"null",250,1.3,1.01847306549541,0.42700673164677,FALSE,121,129,0,0.937984496124031,FALSE,NA,0.25046077759644,FALSE,NA,0.0409907194317495,37
"null",250,1.3,1.02507857304863,0.402432696653543,FALSE,132,118,0,1.11864406779661,FALSE,NA,0.402913225668131,FALSE,NA,0.734619438886644,38
"null",250,1.3,1.19876868953386,0.0350845102867171,TRUE,132,118,0,1.11864406779661,FALSE,NA,0.477876567007096,FALSE,NA,0.734619438886644,39
"null",250,1.3,1.1162050518047,0.136990477663204,FALSE,140,110,0,1.27272727272727,FALSE,NA,1.66434110735378,FALSE,NA,5.99251644543618,40
"null",250,1.3,0.858625509263389,0.935618361829452,FALSE,114,136,0,0.838235294117647,TRUE,55,0.186450026654265,FALSE,NA,0.00653253995337442,41
