"p_ctrl","p_trt","true_arr","futility_process","futility_alt","n_sims","n_patients","efficacy_cross_rate","futility_cross_rate","dual_efficacy_rate","dual_futility_rate","dual_tie_rate","dual_continue_rate","no_crossing_rate","median_efficacy_crossing","median_futility_crossing","median_dual_stop","wrong_futility_rate","futility_detection_rate","median_final_arr","q25_final_arr","q75_final_arr","median_final_arr_no_crossing","q25_final_arr_no_crossing","q75_final_arr_no_crossing","median_final_efficacy_e","median_final_futility_e"
0.3,0.275,0.025,"design","half_mcid",5000,2502,0.1052,0.1402,0.1052,0.139,0,0.7558,0.7558,1166,1903,1716,0,0.1402,0.0253279220862358,0.012997625666743,0.0374834976104475,0.0264971753939466,0.0171186926713713,0.0361490293281828,0.441553835211207,2.84865082760498
0.3,0.275,0.025,"design","no_benefit",5000,2502,0.1052,0.3004,0.1042,0.2992,0,0.5966,0.5966,1166,1338,1302,0,0.3004,0.0253279220862358,0.012997625666743,0.0374834976104475,0.030004252339586,0.0214915592362023,0.0387217746765946,0.441553835211207,1.0783729831256
0.3,0.275,0.025,"robust","no_benefit",5000,2502,0.1052,0.0028,0.1052,0.0026,0,0.8922,0.8922,1166,1917.5,1218,0,0.0028,0.0253279220862358,0.012997625666743,0.0374834976104475,0.022996849195238,0.0119037196327977,0.0342072297780961,0.441553835211207,0.464247982776717
0.3,0.25,0.05,"design","half_mcid",5000,2502,0.4492,0.0068,0.4492,0.0068,0,0.544,0.544,1237,2136.5,1249.5,0.0068,0,0.0506543852724233,0.0380990083126126,0.062983422180631,0.040706229483202,0.0316184171610404,0.0492625521408417,4.34912280687625,0.336752500535568
0.3,0.25,0.05,"design","no_benefit",5000,2502,0.4492,0.0368,0.4488,0.0364,0,0.5148,0.5148,1237,1174.5,1235,0.0368,0,0.0506543852724233,0.0380990083126126,0.062983422180631,0.0415402575971261,0.0328347668811672,0.0499595430528556,4.34912280687625,0.0180130761358415
0.3,0.25,0.05,"robust","no_benefit",5000,2502,0.4492,0,0.4492,0,0,0.5508,0.5508,1237,NA,1237,0,0,0.0506543852724233,0.0380990083126126,0.062983422180631,0.0404753904465147,0.0312012344912631,0.0491195763557104,4.34912280687625,0.0854336576055157
0.3,0.225,0.075,"design","half_mcid",5000,2502,0.8464,0,0.8464,0,0,0.1536,0.1536,1056,NA,1056,0,0,0.0746503460755947,0.0627319192347736,0.087003874703192,0.0520705802301074,0.0448712692516294,0.0597079612931342,160.584875570565,0.044442966689904
0.3,0.225,0.075,"design","no_benefit",5000,2502,0.8464,0.0024,0.8462,0.0022,0,0.1516,0.1516,1056,684,1055.5,0.0024,0,0.0746503460755947,0.0627319192347736,0.087003874703192,0.0524394420597969,0.0452011277442303,0.0597655177879059,160.584875570565,0.000371597795383337
0.3,0.225,0.075,"robust","no_benefit",5000,2502,0.8464,0,0.8464,0,0,0.1536,0.1536,1056,NA,1056,0,0,0.0746503460755947,0.0627319192347736,0.087003874703192,0.0520705802301074,0.0448712692516294,0.0597079612931342,160.584875570565,0.0193024996500754
0.3,0.2,0.1,"design","half_mcid",5000,2502,0.987,0,0.987,0,0,0.013,0.013,675,NA,675,0,0,0.0998837042268133,0.0883435465035057,0.11140927205562,0.0637516688918558,0.0538968349410229,0.0695823868265422,35048.7192640009,0.00527343483163829
0.3,0.2,0.1,"design","no_benefit",5000,2502,0.987,2e-04,0.987,2e-04,0,0.0128,0.0128,675,1006,675,2e-04,0,0.0998837042268133,0.0883435465035057,0.11140927205562,0.0639640529074762,0.0542594798444863,0.0699080500027201,35048.7192640009,6.28245825285567e-06
0.3,0.2,0.1,"robust","no_benefit",5000,2502,0.987,0,0.987,0,0,0.013,0.013,675,NA,675,0,0,0.0998837042268133,0.0883435465035057,0.11140927205562,0.0637516688918558,0.0538968349410229,0.0695823868265422,35048.7192640009,0.00373911586097578
0.4,0.4,0,"design","half_mcid",5000,2502,0.03,0.7696,0.0236,0.7566,2e-04,0.2196,0.2196,455,1546,1534,0,0.7696,-0.000204258061813956,-0.0133666690290176,0.0135128487802255,0.0226585521651999,0.0168394103150344,0.0301951661494953,0.211116128551117,47.9371999553602
0.4,0.4,0,"design","no_benefit",5000,2502,0.03,0.8438,0.016,0.8376,4e-04,0.146,0.146,455,1013,998,0,0.8438,-0.000204258061813956,-0.0133666690290176,0.0135128487802255,0.0257409960963347,0.0198715602363947,0.0332250905463202,0.211116128551117,161.121574880417
0.4,0.4,0,"robust","no_benefit",5000,2502,0.03,0.0734,0.0274,0.0666,2e-04,0.9058,0.9058,455,2031,1844,0,0.0734,-0.000204258061813956,-0.0133666690290176,0.0135128487802255,0.00143889032777883,-0.0103839707889631,0.0145838340347413,0.211116128551117,2.39659503965128
0.4,0.375,0.025,"design","half_mcid",5000,2502,0.1084,0.3158,0.108,0.3122,0,0.5798,0.5798,1045.5,1791,1671,0,0.3158,0.0245775052566078,0.0123662354761019,0.0387492640710837,0.0300343291493418,0.0222971478511719,0.040030945793211,0.329581285164796,5.81942187974417
0.4,0.375,0.025,"design","no_benefit",5000,2502,0.1084,0.4456,0.1068,0.442,0,0.4512,0.4512,1045.5,1163.5,1139,0,0.4456,0.0245775052566078,0.0123662354761019,0.0387492640710837,0.0330247837692047,0.0248331675040596,0.0420334056068551,0.329581285164796,2.71028752691669
0.4,0.375,0.025,"robust","no_benefit",5000,2502,0.1084,0.0062,0.1082,0.0052,0,0.8866,0.8866,1045.5,1980,1082,0,0.0062,0.0245775052566078,0.0123662354761019,0.0387492640710837,0.0228963587045077,0.0111121336216812,0.0344674124886825,0.329581285164796,0.464247982776732
0.4,0.35,0.05,"design","half_mcid",5000,2502,0.403,0.041,0.403,0.0408,0,0.5562,0.5562,1199,1912,1298,0.041,0,0.0495964357174596,0.0368987517697167,0.062365795487661,0.0419083126208231,0.0329481454199468,0.0501357195436142,2.9166992835219,0.719303543024317
0.4,0.35,0.05,"design","no_benefit",5000,2502,0.403,0.0976,0.4022,0.0968,0,0.501,0.501,1199,1161,1190,0.0976,0,0.0495964357174596,0.0368987517697167,0.062365795487661,0.0430563303867379,0.0347615781915004,0.0509431309904155,2.9166992835219,0.0496066236569245
0.4,0.35,0.05,"robust","no_benefit",5000,2502,0.403,0,0.403,0,0,0.597,0.597,1199,NA,1199,0,0,0.0495964357174596,0.0368987517697167,0.062365795487661,0.0407243230877667,0.0309983896940417,0.0494646685051597,2.9166992835219,0.094663332526889
0.4,0.325,0.075,"design","half_mcid",5000,2502,0.8312,0.001,0.8312,0.001,0,0.1678,0.1678,1046.5,1502,1047,0.001,0,0.0749679128082566,0.062196791487622,0.0877177147321212,0.0506474220690926,0.0429056751838467,0.0572168561255673,133.451219139743,0.0878435529054962
0.4,0.325,0.075,"design","no_benefit",5000,2502,0.8312,0.0104,0.8296,0.0104,0,0.16,0.16,1046.5,816.5,1043,0.0104,0,0.0749679128082566,0.062196791487622,0.0877177147321212,0.0510263220661514,0.0434258147720062,0.0573633944377581,133.451219139743,0.000880356978977349
0.4,0.325,0.075,"robust","no_benefit",5000,2502,0.8312,0,0.8312,0,0,0.1688,0.1688,1046.5,NA,1046.5,0,0,0.0749679128082566,0.062196791487622,0.0877177147321212,0.0505643622205408,0.0428341522463708,0.0571928377136249,133.451219139743,0.0183373746675723
0.4,0.3,0.1,"design","half_mcid",5000,2502,0.984,0,0.984,0,0,0.016,0.016,694,NA,694,0,0,0.100020069776993,0.0872344441286603,0.112391662831723,0.0598807928983557,0.0538687470976344,0.0642463235000223,28078.2750259403,0.0105872539152777
0.4,0.3,0.1,"design","no_benefit",5000,2502,0.984,8e-04,0.9834,8e-04,0,0.0158,0.0158,694,354,694,8e-04,0,0.100020069776993,0.0872344441286603,0.112391662831723,0.0602027721395371,0.0540718631761938,0.0643188450831116,28078.2750259403,1.53033582061078e-05
0.4,0.3,0.1,"robust","no_benefit",5000,2502,0.984,0,0.984,0,0,0.016,0.016,694,NA,694,0,0,0.100020069776993,0.0872344441286603,0.112391662831723,0.0598807928983557,0.0538687470976344,0.0642463235000223,28078.2750259403,0.00373911586097592
