"endpoint","policy","scenario_type","p_ctrl","p_trt_true","sample_size_arr","true_arr","wager_arr","wager_misspecification","n_patients","n_events","event_coin","effect_scale","true_effect","rejection_rate","se","median_crossing","median_final_evalue","median_crossing_effect","median_final_effect","median_type_m_at_crossing","type_m_q25","type_m_q75","type_m_q90","n_freq","erte_inflation","target_power","alpha","n_sims"
"e-RTe","fixed_over_full_kelly","alternative",0.4,0.35,0.05,0.05,0.1,"overestimated",2942,1104,0.466666666666667,"ARR_at_crossing_snapshot",0.05,0.447,0.0157223089907303,431,0.423165830305873,0.074271788770772,0.0493863575604304,1.48543577541544,1.19659244793651,1.91854454132393,2.41445669310724,2942,1,0.8,0.05,1000
"e-RTe","oracle_full_kelly","alternative",0.4,0.35,0.05,0.05,0.05,"oracle",2942,1104,0.466666666666667,"ARR_at_crossing_snapshot",0.05,0.475,0.0157916116973538,697,9.38007300239069,0.0644638488036716,0.049364269777552,1.28927697607343,1.1010664162864,1.57441863164724,1.90293140070444,2942,1,0.8,0.05,1000
"e-RTb","adaptive_half_kelly","alternative",0.4,0.3,0.1,0.1,NA,"adaptive",712,NA,NA,"ARR",0.1,0.489,0.0158075614817719,402,6.3238379999119,0.144394885518882,0.100713325035818,1.44394885518882,1.24061104881197,1.81740196078431,2.24671547841046,712,1,0.8,0.05,1000
"e-RTb","fixed_under_full_kelly","alternative",0.4,0.3,0.1,0.1,0.05,"underestimated",712,NA,NA,"ARR",0.1,0.409,0.0155473148807117,563,11.8213527807451,0.136306319414133,0.0996301403981094,1.36306319414133,1.21901660861225,1.5776364599894,1.83165411485128,712,1,0.8,0.05,1000
"e-RTb","fixed_matched_full_kelly","alternative",0.4,0.3,0.1,0.1,0.1,"matched",712,NA,NA,"ARR",0.1,0.697,0.0145324120503102,409,32.1546187165841,0.128307123034228,0.099249473781686,1.28307123034228,1.06140350877193,1.58072696534235,1.90140964224908,712,1,0.8,0.05,1000
"e-RTb","fixed_over_full_kelly","alternative",0.4,0.3,0.1,0.1,0.15,"overestimated",712,NA,NA,"ARR",0.1,0.678,0.0147755202954075,335,12.1000458549859,0.13033812019464,0.0988725179193096,1.3033812019464,1.08878704358392,1.6186974789916,1.97634048208672,712,1,0.8,0.05,1000
"e-RTb","oracle_full_kelly","alternative",0.4,0.3,0.1,0.1,0.1,"oracle",712,NA,NA,"ARR",0.1,0.712,0.0143197765345692,415,33.2730388034463,0.125524631022056,0.100425572689283,1.25524631022056,1.03923716102251,1.57841124955729,1.91777750828685,712,1,0.8,0.05,1000
"e-RTe","adaptive_full_kelly","alternative",0.4,0.3,0.1,0.1,NA,"adaptive",712,250,0.428571428571429,"ARR_at_crossing_snapshot",0.1,0.327,0.0148347901906296,152,2.55945340049357,0.147406733393994,0.0993775411211422,1.47406733393994,1.2258502137971,1.76185493044326,2.11226170470357,712,1,0.8,0.05,1000
"e-RTe","fixed_under_full_kelly","alternative",0.4,0.3,0.1,0.1,0.05,"underestimated",712,250,0.428571428571429,"ARR_at_crossing_snapshot",0.1,0.042,0.00634318531969546,220.5,4.20351945389915,0.164468529714551,0.0994013839853259,1.64468529714551,1.42022631740625,1.87050597090974,2.17843358961834,712,1,0.8,0.05,1000
"e-RTe","fixed_matched_full_kelly","alternative",0.4,0.3,0.1,0.1,0.1,"matched",712,250,0.428571428571429,"ARR_at_crossing_snapshot",0.1,0.435,0.0156772127624779,185,7.4939175618808,0.131038575667656,0.0994107596025431,1.31038575667656,1.08624946477844,1.5461988629519,1.82363076848782,712,1,0.8,0.05,1000
"e-RTe","fixed_over_full_kelly","alternative",0.4,0.3,0.1,0.1,0.15,"overestimated",712,250,0.428571428571429,"ARR_at_crossing_snapshot",0.1,0.499,0.0158113566780337,150,4.40138052358652,0.131180124223602,0.100386406786567,1.31180124223602,1.06782979626318,1.55416752830886,1.82429191995036,712,1,0.8,0.05,1000
"e-RTe","oracle_full_kelly","alternative",0.4,0.3,0.1,0.1,0.1,"oracle",712,250,0.428571428571429,"ARR_at_crossing_snapshot",0.1,0.446,0.0157189058143371,184,8.17892009284738,0.134389989591814,0.100124916146401,1.34389989591814,1.10394051404984,1.60021727376096,1.88657310313684,712,1,0.8,0.05,1000
