"endpoint","policy","scenario_type","p_ctrl","p_trt_true","sample_size_arr","true_arr","wager_arr","wager_misspecification","n_patients","n_events","event_coin","rejection_rate","se","median_crossing","median_final_evalue","n_freq","target_power","alpha","n_sims"
"e-RTb","adaptive_half_kelly","null",0.4,0.4,0.05,0,NA,"adaptive",2942,NA,NA,0,0,NA,0.236379414595835,2942,0.8,0.05,10
"e-RTb","fixed_5pp_full_kelly","null",0.4,0.4,0.05,0,0.05,"fixed_5pp_under_null",2942,NA,NA,0,0,NA,0.04561630701764,2942,0.8,0.05,10
"e-RTb","fixed_10pp_full_kelly","null",0.4,0.4,0.05,0,0.1,"fixed_10pp_under_null",2942,NA,NA,0,0,NA,6.92310219012729e-08,2942,0.8,0.05,10
"e-RTe","adaptive_full_kelly","null",0.4,0.4,0.05,0,NA,"adaptive",7355,2942,0.5,0,0,NA,0.18582483738225,2942,0.8,0.05,10
"e-RTe","fixed_5pp_full_kelly","null",0.4,0.4,0.05,0,0.05,"fixed_5pp_under_null",7355,2942,0.5,0,0,NA,0.00345384586305894,2942,0.8,0.05,10
"e-RTe","fixed_10pp_full_kelly","null",0.4,0.4,0.05,0,0.1,"fixed_10pp_under_null",7355,2942,0.5,0,0,NA,1.2414977687202e-10,2942,0.8,0.05,10
"e-RTb","adaptive_half_kelly","null",0.4,0.4,0.1,0,NA,"adaptive",712,NA,NA,0,0,NA,0.359763974747195,712,0.8,0.05,10
"e-RTb","fixed_5pp_full_kelly","null",0.4,0.4,0.1,0,0.05,"fixed_5pp_under_null",712,NA,NA,0,0,NA,0.474253997584028,712,0.8,0.05,10
"e-RTb","fixed_10pp_full_kelly","null",0.4,0.4,0.1,0,0.1,"fixed_10pp_under_null",712,NA,NA,0.1,0.0948683298050514,278,0.0242685247420733,712,0.8,0.05,10
"e-RTe","adaptive_full_kelly","null",0.4,0.4,0.1,0,NA,"adaptive",1780,712,0.5,0,0,NA,0.296410978430188,712,0.8,0.05,10
"e-RTe","fixed_5pp_full_kelly","null",0.4,0.4,0.1,0,0.05,"fixed_5pp_under_null",1780,712,0.5,0,0,NA,0.636217794192744,712,0.8,0.05,10
"e-RTe","fixed_10pp_full_kelly","null",0.4,0.4,0.1,0,0.1,"fixed_10pp_under_null",1780,712,0.5,0.1,0.0948683298050514,145,0.0026996624595375,712,0.8,0.05,10
"e-RTb","adaptive_half_kelly","alternative",0.4,0.35,0.05,0.05,NA,"adaptive",2942,NA,NA,0.2,0.126491106406735,1646.5,2.4834912133021,2942,0.8,0.05,10
"e-RTb","fixed_under_full_kelly","alternative",0.4,0.35,0.05,0.05,0.025,"underestimated",2942,NA,NA,0.6,0.154919333848297,2176.5,20.5680099698165,2942,0.8,0.05,10
"e-RTb","fixed_matched_full_kelly","alternative",0.4,0.35,0.05,0.05,0.05,"matched",2942,NA,NA,0.9,0.0948683298050514,1591,230.583080227526,2942,0.8,0.05,10
"e-RTb","fixed_over_full_kelly","alternative",0.4,0.35,0.05,0.05,0.1,"overestimated",2942,NA,NA,0.5,0.158113883008419,803,0.152050686922345,2942,0.8,0.05,10
"e-RTb","oracle_full_kelly","alternative",0.4,0.35,0.05,0.05,0.05,"oracle",2942,NA,NA,0.4,0.154919333848297,1142,9.75202319532153,2942,0.8,0.05,10
"e-RTe","adaptive_full_kelly","alternative",0.4,0.35,0.05,0.05,NA,"adaptive",7355,2759,0.466666666666667,0.8,0.126491106406735,2069,43.274678071565,2942,0.8,0.05,10
"e-RTe","fixed_under_full_kelly","alternative",0.4,0.35,0.05,0.05,0.025,"underestimated",7355,2759,0.466666666666667,0.9,0.0948683298050514,1284,187.652946979913,2942,0.8,0.05,10
"e-RTe","fixed_matched_full_kelly","alternative",0.4,0.35,0.05,0.05,0.05,"matched",7355,2759,0.466666666666667,0.9,0.0948683298050514,1002,969.7673719442,2942,0.8,0.05,10
"e-RTe","fixed_over_full_kelly","alternative",0.4,0.35,0.05,0.05,0.1,"overestimated",7355,2759,0.466666666666667,0.8,0.126491106406735,524,38.6484423504097,2942,0.8,0.05,10
"e-RTe","oracle_full_kelly","alternative",0.4,0.35,0.05,0.05,0.05,"oracle",7355,2759,0.466666666666667,0.7,0.144913767461894,1080,3656.47125876205,2942,0.8,0.05,10
"e-RTb","adaptive_half_kelly","alternative",0.4,0.3,0.1,0.1,NA,"adaptive",712,NA,NA,0.5,0.158113883008419,586,10.4890667296787,712,0.8,0.05,10
"e-RTb","fixed_under_full_kelly","alternative",0.4,0.3,0.1,0.1,0.05,"underestimated",712,NA,NA,0.4,0.154919333848297,613,6.07192857624762,712,0.8,0.05,10
"e-RTb","fixed_matched_full_kelly","alternative",0.4,0.3,0.1,0.1,0.1,"matched",712,NA,NA,0.9,0.0948683298050514,371,120.741560375843,712,0.8,0.05,10
"e-RTb","fixed_over_full_kelly","alternative",0.4,0.3,0.1,0.1,0.15,"overestimated",712,NA,NA,1,0,296,90.7994335185719,712,0.8,0.05,10
"e-RTb","oracle_full_kelly","alternative",0.4,0.3,0.1,0.1,0.1,"oracle",712,NA,NA,0.9,0.0948683298050514,421,107.66257115792,712,0.8,0.05,10
"e-RTe","adaptive_full_kelly","alternative",0.4,0.3,0.1,0.1,NA,"adaptive",1780,624,0.428571428571429,0.6,0.154919333848297,299.5,11.8620534056035,712,0.8,0.05,10
"e-RTe","fixed_under_full_kelly","alternative",0.4,0.3,0.1,0.1,0.05,"underestimated",1780,624,0.428571428571429,0.8,0.126491106406735,414.5,54.9443784683515,712,0.8,0.05,10
"e-RTe","fixed_matched_full_kelly","alternative",0.4,0.3,0.1,0.1,0.1,"matched",1780,624,0.428571428571429,1,0,291.5,579.102998064418,712,0.8,0.05,10
"e-RTe","fixed_over_full_kelly","alternative",0.4,0.3,0.1,0.1,0.15,"overestimated",1780,624,0.428571428571429,0.9,0.0948683298050514,166,11.9354484818555,712,0.8,0.05,10
"e-RTe","oracle_full_kelly","alternative",0.4,0.3,0.1,0.1,0.1,"oracle",1780,624,0.428571428571429,0.9,0.0948683298050514,288,359.947236381105,712,0.8,0.05,10
