"scenario_type","true_wr","design_wr","true_d","design_d","n_pairs","n_patients","kelly_fraction","burn_in","ramp","rejection_rate","se","median_crossing","median_final_evalue","target_power","alpha","n_sims"
"null",1,1.2,0,0.161482391852927,603,1206,1,10,1,0.15,0.0798435971133566,116,0.137939063315376,0.8,0.05,20
"null",1,1.2,0,0.161482391852927,603,1206,0.5,30,1,0,0,NA,0.571059374886602,0.8,0.05,20
"null",1,1.2,0,0.161482391852927,603,1206,1,30,1,0.05,0.0487339717240448,48,0.219034333305018,0.8,0.05,20
"null",1,1.2,0,0.161482391852927,603,1206,0.5,0,20,0.05,0.0487339717240448,81,0.540577777731987,0.8,0.05,20
"null",1,1.2,0,0.161482391852927,603,1206,1,0,20,0,0,NA,0.0999439420838328,0.8,0.05,20
"null",1,1.2,0,0.161482391852927,603,1206,0.5,10,20,0.05,0.0487339717240448,340,0.54541808656839,0.8,0.05,20
"null",1,1.2,0,0.161482391852927,603,1206,1,10,20,0,0,NA,0.146186137820937,0.8,0.05,20
"null",1,1.2,0,0.161482391852927,603,1206,0.5,30,20,0.05,0.0487339717240448,488,0.566047810268809,0.8,0.05,20
"null",1,1.2,0,0.161482391852927,603,1206,1,30,20,0,0,NA,0.247865712481218,0.8,0.05,20
"null",1,1.2,0,0.161482391852927,603,1206,0.5,0,50,0,0,NA,0.634870183280166,0.8,0.05,20
"null",1,1.2,0,0.161482391852927,603,1206,1,0,50,0,0,NA,0.150912658018504,0.8,0.05,20
"null",1,1.2,0,0.161482391852927,603,1206,0.5,10,50,0,0,NA,0.670470795478105,0.8,0.05,20
"null",1,1.2,0,0.161482391852927,603,1206,1,10,50,0.05,0.0487339717240448,509,0.231060464638961,0.8,0.05,20
"null",1,1.2,0,0.161482391852927,603,1206,0.5,30,50,0,0,NA,0.793538380705694,0.8,0.05,20
"null",1,1.2,0,0.161482391852927,603,1206,1,30,50,0.05,0.0487339717240448,281,0.303278852775101,0.8,0.05,20
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,603,1206,0.5,0,1,0.1,0.0670820393249937,263.5,1.03367293925278,0.8,0.05,20
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,603,1206,1,0,1,0.05,0.0487339717240448,547,0.000630621008231748,0.8,0.05,20
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,603,1206,0.5,10,1,0.2,0.0894427190999916,425,3.45499542763644,0.8,0.05,20
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,603,1206,1,10,1,0.25,0.0968245836551854,418,1.75131768942316,0.8,0.05,20
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,603,1206,0.5,30,1,0.15,0.0798435971133566,518,4.69712297597301,0.8,0.05,20
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,603,1206,1,30,1,0.4,0.109544511501033,250,2.08781151548355,0.8,0.05,20
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,603,1206,0.5,0,20,0.15,0.0798435971133566,366,2.01116056582811,0.8,0.05,20
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,603,1206,1,0,20,0.15,0.0798435971133566,377,0.394940416109847,0.8,0.05,20
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,603,1206,0.5,10,20,0.1,0.0670820393249937,254.5,1.94698547565649,0.8,0.05,20
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,603,1206,1,10,20,0.3,0.102469507659596,341,4.41473984931993,0.8,0.05,20
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,603,1206,0.5,30,20,0.25,0.0968245836551854,465,3.10358687965919,0.8,0.05,20
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,603,1206,1,30,20,0.25,0.0968245836551854,276,1.13943298577779,0.8,0.05,20
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,603,1206,0.5,0,50,0.2,0.0894427190999916,431.5,2.49436811802431,0.8,0.05,20
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,603,1206,1,0,50,0.2,0.0894427190999916,383,1.4915879720807,0.8,0.05,20
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,603,1206,0.5,10,50,0.1,0.0670820393249937,469,2.83066215224505,0.8,0.05,20
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,603,1206,1,10,50,0.45,0.111242977306435,406,2.60516633330342,0.8,0.05,20
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,603,1206,0.5,30,50,0.2,0.0894427190999916,342.5,2.63077046579609,0.8,0.05,20
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,603,1206,1,30,50,0.3,0.102469507659596,272.5,1.13935351359209,0.8,0.05,20
"null",1,1.3,0,0.232229108033415,293,586,0.5,0,1,0.05,0.0487339717240448,9,0.340110908021693,0.8,0.05,20
"null",1,1.3,0,0.232229108033415,293,586,1,0,1,0,0,NA,0.000152897959461021,0.8,0.05,20
"null",1,1.3,0,0.232229108033415,293,586,0.5,10,1,0,0,NA,0.689628441006979,0.8,0.05,20
