"scenario_type","true_wr","design_wr","true_d","design_d","n_pairs","n_patients","kelly_fraction","burn_in","ramp","rejection_rate","se","median_crossing","median_final_evalue","target_power","alpha","n_sims"
"null",1,1.2,0,0.161482391852927,603,1206,1,20,20,0,0,NA,0.229546574606448,0.8,0.05,2
"null",1,1.2,0,0.161482391852927,603,1206,1,30,20,0,0,NA,0.150763465748389,0.8,0.05,2
"null",1,1.2,0,0.161482391852927,603,1206,1,0,35,0,0,NA,0.138477878809959,0.8,0.05,2
"null",1,1.2,0,0.161482391852927,603,1206,1,10,35,0,0,NA,0.191715152702126,0.8,0.05,2
"null",1,1.2,0,0.161482391852927,603,1206,1,20,35,0,0,NA,0.242352155115734,0.8,0.05,2
"null",1,1.2,0,0.161482391852927,603,1206,1,30,35,0,0,NA,0.459148754250708,0.8,0.05,2
"null",1,1.2,0,0.161482391852927,603,1206,1,0,50,0,0,NA,0.154669552866239,0.8,0.05,2
"null",1,1.2,0,0.161482391852927,603,1206,1,10,50,0,0,NA,1.27190607794689,0.8,0.05,2
"null",1,1.2,0,0.161482391852927,603,1206,1,20,50,0,0,NA,0.241023333143119,0.8,0.05,2
"null",1,1.2,0,0.161482391852927,603,1206,1,30,50,0,0,NA,0.134985475131547,0.8,0.05,2
"null",1,1.2,0,0.161482391852927,603,1206,1,0,75,0,0,NA,0.131917950690913,0.8,0.05,2
"null",1,1.2,0,0.161482391852927,603,1206,1,10,75,0,0,NA,0.183219130026961,0.8,0.05,2
"null",1,1.2,0,0.161482391852927,603,1206,1,20,75,0,0,NA,0.336789575342974,0.8,0.05,2
"null",1,1.2,0,0.161482391852927,603,1206,1,30,75,0,0,NA,0.365804883939005,0.8,0.05,2
"null",1,1.2,0,0.161482391852927,603,1206,1,0,100,0,0,NA,1.3178388336311,0.8,0.05,2
"null",1,1.2,0,0.161482391852927,603,1206,1,10,100,0,0,NA,0.449459137689359,0.8,0.05,2
"null",1,1.2,0,0.161482391852927,603,1206,1,20,100,0,0,NA,0.404693291928161,0.8,0.05,2
"null",1,1.2,0,0.161482391852927,603,1206,1,30,100,0,0,NA,0.4921070364728,0.8,0.05,2
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,603,1206,1,0,20,0,0,NA,0.433681851578109,0.8,0.05,2
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,603,1206,1,10,20,0.5,0.353553390593274,110,102.272240754654,0.8,0.05,2
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,603,1206,1,20,20,0.5,0.353553390593274,378,2.82466577952643,0.8,0.05,2
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,603,1206,1,30,20,0,0,NA,0.341025079790386,0.8,0.05,2
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,603,1206,1,0,35,0,0,NA,1.53774814998207,0.8,0.05,2
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,603,1206,1,10,35,0.5,0.353553390593274,312,0.500641724472612,0.8,0.05,2
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,603,1206,1,20,35,0,0,NA,2.98140184590419,0.8,0.05,2
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,603,1206,1,30,35,0,0,NA,0.910993939647689,0.8,0.05,2
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,603,1206,1,0,50,0,0,NA,0.317093837522094,0.8,0.05,2
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,603,1206,1,10,50,0.5,0.353553390593274,100,9.280294712537,0.8,0.05,2
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,603,1206,1,20,50,0.5,0.353553390593274,400,3.63884566226799,0.8,0.05,2
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,603,1206,1,30,50,0.5,0.353553390593274,220,133.410957884362,0.8,0.05,2
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,603,1206,1,0,75,0,0,NA,0.14180573391684,0.8,0.05,2
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,603,1206,1,10,75,0,0,NA,2.57115512989236,0.8,0.05,2
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,603,1206,1,20,75,0.5,0.353553390593274,547,23.9933049649248,0.8,0.05,2
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,603,1206,1,30,75,0.5,0.353553390593274,458,22.7053129751205,0.8,0.05,2
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,603,1206,1,0,100,1,0,360.5,389.625063043204,0.8,0.05,2
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,603,1206,1,10,100,1,0,528,21.1490070097231,0.8,0.05,2
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,603,1206,1,20,100,0.5,0.353553390593274,200,1.4073147718221,0.8,0.05,2
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,603,1206,1,30,100,0,0,NA,0.927481359519587,0.8,0.05,2
"null",1,1.3,0,0.232229108033415,293,586,1,0,20,0,0,NA,0.251542258310495,0.8,0.05,2
"null",1,1.3,0,0.232229108033415,293,586,1,10,20,0,0,NA,0.183552452260986,0.8,0.05,2
