"endpoint","scenario_type","true_hr","planning_hr","policy","policy_display","wager_misspecification","hr_wager","n_events","n_patients","rejection_rate","se","median_crossing","median_crossing_frac","median_final_evalue","median_crossing_log_hr","median_crossing_hr","median_final_log_hr","median_final_hr","median_type_m","type_m_q75","type_m_q90","type_s_rate","n_crossed","target_power","alpha","n_sims"
"e-RTs","alternative",0.9,0.9,"design","Design over","overestimated",0.85,2829,2829,0.6,0.109544511501033,1291,0.456344998232591,8.31784186869347,-0.136164879669835,0.872752386625469,-0.0984911185367081,0.906212824363451,1.29237104450067,1.72652824552429,2.2928205732544,0,12,0.8,0.05,20
"e-RTs","alternative",0.8,0.8,"fixed","Fixed 0.25","fixed",NA,631,631,0.7,0.102469507659596,249,0.394611727416799,52.7135854002392,-0.372235818087138,0.6891957188031,-0.241777026086647,0.785242546770393,1.66814508371336,2.17414135767035,2.4471679278457,0,14,0.8,0.05,20
"e-RTs","alternative",0.8,0.8,"adaptive","Adaptive half","adaptive",NA,631,631,0.55,0.111242977306435,297,0.47068145800317,11.5820696889094,-0.400339827434754,0.670092291594727,-0.241777026086647,0.785242546770393,1.79409095659248,2.39857603262211,2.5416155686011,0,11,0.8,0.05,20
"e-RTs","alternative",0.8,0.8,"design","Design under","underestimated",0.9,631,631,0.45,0.111242977306435,456,0.722662440570523,15.4251541352725,-0.347347157992201,0.706559997725806,-0.241777026086647,0.785242546770393,1.5566085416607,1.58018576335488,1.83946828668017,0,9,0.8,0.05,20
"e-RTs","alternative",0.8,0.8,"design","Design matched","matched",0.8,631,631,0.85,0.0798435971133566,276,0.437400950871632,53.5971984952746,-0.338055868537237,0.713155443833808,-0.241777026086647,0.785242546770393,1.51497037017762,1.88072452708851,2.31227015454036,0,17,0.8,0.05,20
"e-RTs","alternative",0.8,0.8,"design","Design over","overestimated",0.7,631,631,0.9,0.0670820393249937,197,0.312202852614897,21.4318520750107,-0.380569721876871,0.683480154968894,-0.241777026086647,0.785242546770393,1.70549280781585,2.04822344077922,2.54960818983057,0,18,0.8,0.05,20
"e-RTs","alternative",0.7,0.7,"fixed","Fixed 0.25","fixed",NA,247,247,0.6,0.109544511501033,192.5,0.779352226720648,13.3644612742097,-0.46413186255414,0.629046473093198,-0.367465694501891,0.69248834883213,1.3012740884705,1.75311545987322,2.06886351214704,0,12,0.8,0.05,20
"e-RTs","alternative",0.7,0.7,"adaptive","Adaptive half","adaptive",NA,247,247,0.35,0.106653645038508,145,0.587044534412955,5.60556070627181,-0.617421310414465,0.539333419420295,-0.367465694501891,0.69248834883213,1.7310476132591,2.07342699047326,2.13932892513733,0,7,0.8,0.05,20
"e-RTs","alternative",0.7,0.7,"design","Design under","underestimated",0.85,247,247,0.25,0.0968245836551854,198,0.801619433198381,8.62014489332842,-0.607659607242401,0.544624012760317,-0.367465694501891,0.69248834883213,1.70367898718106,1.88456826231408,2.1343837803262,0,5,0.8,0.05,20
"e-RTs","alternative",0.7,0.7,"design","Design matched","matched",0.7,247,247,0.65,0.106653645038508,144,0.582995951417004,26.8036959342091,-0.49897189259644,0.607154559037172,-0.367465694501891,0.69248834883213,1.39895414880096,1.76322014734316,1.94896229437117,0,13,0.8,0.05,20
"e-RTs","alternative",0.7,0.7,"design","Design over","overestimated",0.55,247,247,0.7,0.102469507659596,108,0.437246963562753,11.43063630582,-0.500416165448105,0.606509364239326,-0.367465694501891,0.69248834883213,1.40300341796385,1.71010542707626,1.8154862449507,0,14,0.8,0.05,20
