"endpoint","scenario_type","true_hr","planning_hr","policy","policy_display","wager_misspecification","hr_wager","n_events","n_patients","rejection_rate","se","median_crossing","median_crossing_frac","median_final_evalue","median_crossing_log_hr","median_crossing_hr","median_final_log_hr","median_final_hr","median_type_m","type_m_q75","type_m_q90","type_s_rate","n_crossed","target_power","alpha","n_sims"
"e-RTs","null",1,0.9,"fixed","Fixed 0.25","fixed",NA,2829,2829,0,0,NA,NA,9.75364963334155e-11,NA,NA,-0.0029990245011109,0.997005563348907,NA,NA,NA,NA,0,0.8,0.05,20
"e-RTs","null",1,0.9,"adaptive","Adaptive half","adaptive",NA,2829,2829,0,0,NA,NA,0.517597411542184,NA,NA,-0.0029990245011109,0.997005563348907,NA,NA,NA,NA,0,0.8,0.05,20
"e-RTs","null",1,0.9,"design","Design matched","matched",0.9,2829,2829,0,0,NA,NA,0.0273988607637995,NA,NA,-0.0029990245011109,0.997005563348907,NA,NA,NA,NA,0,0.8,0.05,20
"e-RTs","null",1,0.8,"fixed","Fixed 0.25","fixed",NA,631,631,0,0,NA,NA,0.0121475461710602,NA,NA,0.026785914436862,1.02714879329456,NA,NA,NA,NA,0,0.8,0.05,20
"e-RTs","null",1,0.8,"adaptive","Adaptive half","adaptive",NA,631,631,0,0,NA,NA,0.720172968673445,NA,NA,0.026785914436862,1.02714879329456,NA,NA,NA,NA,0,0.8,0.05,20
"e-RTs","null",1,0.8,"design","Design matched","matched",0.8,631,631,0.05,0.0487339717240448,455,0.72107765451664,0.0153382076977152,-0.202525039075025,0.816666033780012,0.026785914436862,1.02714879329456,NA,NA,NA,NA,1,0.8,0.05,20
"e-RTs","null",1,0.7,"fixed","Fixed 0.25","fixed",NA,247,247,0,0,NA,NA,0.286726766563609,NA,NA,-0.0153687018060002,0.984868381450799,NA,NA,NA,NA,0,0.8,0.05,20
"e-RTs","null",1,0.7,"adaptive","Adaptive half","adaptive",NA,247,247,0,0,NA,NA,0.702976570675798,NA,NA,-0.0153687018060002,0.984868381450799,NA,NA,NA,NA,0,0.8,0.05,20
"e-RTs","null",1,0.7,"design","Design matched","matched",0.7,247,247,0.05,0.0487339717240448,197,0.797570850202429,0.0845786060371953,-0.249234080441812,0.779397510316453,-0.0153687018060002,0.984868381450799,NA,NA,NA,NA,1,0.8,0.05,20
"e-RTs","alternative",0.9,0.9,"fixed","Fixed 0.25","fixed",NA,2829,2829,0.3,0.102469507659596,988.5,0.349416755037116,0.000210559506441628,-0.191695779424936,0.825573061725485,-0.0984911185367081,0.906212824363451,1.81942711867031,2.17313501145976,2.38120656742354,0,6,0.8,0.05,20
"e-RTs","alternative",0.9,0.9,"adaptive","Adaptive half","adaptive",NA,2829,2829,0.25,0.0968245836551854,1280,0.452456698480028,5.44267200331662,-0.191910993950209,0.825380329065081,-0.0984911185367081,0.906212824363451,1.82146976741712,1.94982107526598,2.49239779374657,0,5,0.8,0.05,20
"e-RTs","alternative",0.9,0.9,"design","Design under","underestimated",0.95,2829,2829,0.4,0.109544511501033,2183,0.771650759985861,13.7506068323573,-0.141952094199257,0.867887560715539,-0.0984911185367081,0.906212824363451,1.34729877993638,1.83297292099263,1.87588281530324,0,8,0.8,0.05,20
"e-RTs","alternative",0.9,0.9,"design","Design matched","matched",0.9,2829,2829,0.7,0.102469507659596,1460,0.516083421703782,31.0634821621458,-0.119801609792851,0.887108749300208,-0.0984911185367081,0.906212824363451,1.13706362430803,1.6787241970025,1.78815661597034,0,14,0.8,0.05,20
