"scenario_type","true_wr","design_wr","wager_wr","wager_lambda","true_d","design_d","policy","wager_misspecification","n_pairs","n_patients","design_method","rejection_rate","se","median_crossing","median_final_evalue","median_seq_wr_crossing","median_seq_wr_final","median_all_pairs_wr_crossing","median_all_pairs_wr_final","median_wr_exaggeration_vs_true","wr_exaggeration_vs_true_q25","wr_exaggeration_vs_true_q75","wr_exaggeration_vs_true_q90","median_wr_exaggeration_vs_final","target_power","alpha","n_sims"
"null",1,1.1,NA,NA,0,0.0844527324219911,"adaptive_full_kelly","adaptive",2305,4610,"Yu-Ganju WR",0,0,NA,0.102500558408133,NA,1.00435388840496,NA,1.00644768503013,NA,NA,NA,NA,NA,0.8,0.05,10
"null",1,1.1,1.1,0.0476190476190477,0,0.0844527324219911,"fixed_design","design_under_null",2305,4610,"Yu-Ganju WR",0,0,NA,0.117812581122456,NA,1.00871497832552,NA,0.988240396680554,NA,NA,NA,NA,NA,0.8,0.05,10
"null",1,1.2,NA,NA,0,0.161482391852927,"adaptive_full_kelly","adaptive",630,1260,"Yu-Ganju WR",0.1,0.0948683298050514,188,0.195081213754914,0.649122807017544,1.0032252193958,0.695481147462343,0.961065040939218,NA,NA,NA,NA,0.734285496903276,0.8,0.05,10
"null",1,1.2,1.2,0.0909090909090909,0,0.161482391852927,"fixed_design","design_under_null",630,1260,"Yu-Ganju WR",0,0,NA,0.266776863525776,NA,1.04547610764998,NA,1.01509420938381,NA,NA,NA,NA,NA,0.8,0.05,10
"null",1,1.3,NA,NA,0,0.232229108033415,"adaptive_full_kelly","adaptive",305,610,"Yu-Ganju WR",0,0,NA,0.441738735234572,NA,1.01995614035088,NA,0.935058541368764,NA,NA,NA,NA,NA,0.8,0.05,10
"null",1,1.3,1.3,0.130434782608696,0,0.232229108033415,"fixed_design","design_under_null",305,610,"Yu-Ganju WR",0,0,NA,0.102390787540672,NA,1.01339869281046,NA,1.1072364671013,NA,NA,NA,NA,NA,0.8,0.05,10
"null",1,1.5,NA,NA,0,0.358286909242583,"adaptive_full_kelly","adaptive",128,256,"Yu-Ganju WR",0,0,NA,0.499297636851749,NA,1.03225806451613,NA,0.986300721955134,NA,NA,NA,NA,NA,0.8,0.05,10
"null",1,1.5,1.5,0.2,0,0.358286909242583,"fixed_design","design_under_null",128,256,"Yu-Ganju WR",0.1,0.0948683298050514,88,0.0916788015699525,1.75,1.01587301587302,1.46232114467409,1.04315899477482,NA,NA,NA,NA,1.34478718975359,0.8,0.05,10
"alternative",1.1,1.1,NA,NA,0.0844527324219911,0.0844527324219911,"adaptive_full_kelly","adaptive",2305,4610,"Yu-Ganju WR",0.1,0.0948683298050514,724,1.57893192426814,1.25545171339564,1.10310919304835,1.21858413821709,1.09060968163619,1.10780376201554,1.10780376201554,1.10780376201554,1.10780376201554,1.13930433895937,0.8,0.05,10
"alternative",1.1,1.1,1.05,0.024390243902439,0.0844527324219911,0.0844527324219911,"fixed_under","underestimated",2305,4610,"Yu-Ganju WR",0.4,0.154919333848297,1950,14.7042142907358,1.16306562714567,1.12737634650407,1.15917303493351,1.10927839932401,1.05379366812138,1.02887781566653,1.06861795529845,1.071904406142,1.00827583836963,0.8,0.05,10
