"scenario_type","true_wr","design_wr","wager_wr","wager_lambda","true_d","design_d","policy","wager_misspecification","n_pairs","n_patients","design_method","rejection_rate","se","median_crossing","median_final_evalue","median_seq_wr_crossing","median_seq_wr_final","median_all_pairs_wr_crossing","median_all_pairs_wr_final","median_wr_exaggeration_vs_true","wr_exaggeration_vs_true_q25","wr_exaggeration_vs_true_q75","wr_exaggeration_vs_true_q90","median_wr_exaggeration_vs_final","target_power","alpha","n_sims"
"alternative",1.1,1.1,1.1,0.0476190476190477,0.0844527324219911,0.0844527324219911,"fixed_matched","matched",2305,4610,"Yu-Ganju WR",0.6,0.154919333848297,942,26.6560356701077,1.20093457943925,1.10991450456383,1.13968569655953,1.11550052245952,1.03607790596321,1.03075922022696,1.10346289574678,1.17200493331286,1.02026538685616,0.8,0.05,10
"alternative",1.1,1.1,1.2,0.090909090909091,0.0844527324219911,0.0844527324219911,"fixed_over","overestimated",2305,4610,"Yu-Ganju WR",0.5,0.158113883008419,1298,0.460245013343976,1.15257048092869,1.08692100616599,1.1411928604927,1.07467010142242,1.03744805499337,1.03066623499651,1.07663987249249,1.14783261389597,1.05241075365738,0.8,0.05,10
"alternative",1.2,1.2,NA,NA,0.161482391852927,0.161482391852927,"adaptive_full_kelly","adaptive",630,1260,"Yu-Ganju WR",0.3,0.144913767461894,267,3.35925917499786,1.42727272727273,1.22228443449048,1.40396957551314,1.22618108923606,1.16997464626095,1.1507824544396,1.17780985492939,1.18251098013045,1.04488527335143,0.8,0.05,10
"alternative",1.2,1.2,1.1,0.0476190476190477,0.161482391852927,0.161482391852927,"fixed_under","underestimated",630,1260,"Yu-Ganju WR",0.1,0.0948683298050514,272,3.29072138831443,1.69306930693069,1.13559322033898,1.54275501787187,1.15077427214953,1.28562918155989,1.28562918155989,1.28562918155989,1.28562918155989,1.04287883538697,0.8,0.05,10
"alternative",1.2,1.2,1.2,0.0909090909090909,0.161482391852927,0.161482391852927,"fixed_matched","matched",630,1260,"Yu-Ganju WR",0.5,0.158113883008419,351,10.2275846629574,1.32450331125828,1.18752637353363,1.23691527143582,1.21629985277696,1.03076272619652,1.03037361834293,1.08443074624078,1.14136691687931,1.06305666627202,0.8,0.05,10
"alternative",1.2,1.2,1.4,0.166666666666667,0.161482391852927,0.161482391852927,"fixed_over","overestimated",630,1260,"Yu-Ganju WR",0.6,0.154919333848297,111.5,4.53069792773877,1.75833333333333,1.2144728063456,1.64071834546859,1.21515012359192,1.36726528789049,1.18934056479543,1.5529780055835,1.64201589473329,1.32392653282201,0.8,0.05,10
"alternative",1.3,1.3,NA,NA,0.232229108033415,0.232229108033415,"adaptive_full_kelly","adaptive",305,610,"Yu-Ganju WR",0.3,0.144913767461894,147,5.25209746288722,1.625,1.30270655270655,1.4696,1.2768510943731,1.13046153846154,1.07781642410757,1.16492616204712,1.18560493619846,1.06618930674103,0.8,0.05,10
"alternative",1.3,1.3,1.15,0.0697674418604651,0.232229108033415,0.232229108033415,"fixed_under","underestimated",305,610,"Yu-Ganju WR",0.2,0.126491106406735,220,10.309820144056,1.6841384863124,1.3371990604815,1.52207532027736,1.29641244997814,1.17082716944412,1.16970426258974,1.1719500762985,1.17262382041113,1.01110412538257,0.8,0.05,10
"alternative",1.3,1.3,1.3,0.130434782608696,0.232229108033415,0.232229108033415,"fixed_matched","matched",305,610,"Yu-Ganju WR",0.5,0.158113883008419,198,12.5948854208692,1.44444444444444,1.29336273179557,1.50615880234982,1.28209798282905,1.15858369411525,1.12871006198787,1.16689310129176,1.27293886927169,1.01802368242715,0.8,0.05,10
"alternative",1.3,1.3,1.6,0.230769230769231,0.232229108033415,0.232229108033415,"fixed_over","overestimated",305,610,"Yu-Ganju WR",0.2,0.126491106406735,110,0.150485510867351,1.80509218612818,1.19435817805383,1.60809309814762,1.23984616402316,1.23699469088279,1.21410113852303,1.25988824324255,1.2736243746584,1.28462277693796,0.8,0.05,10
"alternative",1.5,1.5,NA,NA,0.358286909242583,0.358286909242583,"adaptive_full_kelly","adaptive",128,256,"Yu-Ganju WR",0.3,0.144913767461894,88,2.33229559863585,2.15151515151515,1.48567119155354,2.02263856362217,1.3979509824721,1.34842570908145,1.29866587899375,1.37481509142056,1.39064872082403,1.10514909342225,0.8,0.05,10
"alternative",1.5,1.5,1.25,0.111111111111111,0.358286909242583,0.358286909242583,"fixed_under","underestimated",128,256,"Yu-Ganju WR",0.6,0.154919333848297,96.5,31.3334493126416,2.01862745098039,1.84444444444444,1.85638192035473,1.5867265372289,1.23758794690315,1.21220432945449,1.34471147631889,1.44175866142716,1.02924772028325,0.8,0.05,10
"alternative",1.5,1.5,1.5,0.2,0.358286909242583,0.358286909242583,"fixed_matched","matched",128,256,"Yu-Ganju WR",0.5,0.158113883008419,93,9.51599101272209,1.73529411764706,1.46153846153846,1.81268292682927,1.52757950387331,1.20845528455285,1.1290356067684,1.31494920174165,1.32189208945579,1.06760697538952,0.8,0.05,10
"alternative",1.5,1.5,2,0.333333333333333,0.358286909242583,0.358286909242583,"fixed_over","overestimated",128,256,"Yu-Ganju WR",0.5,0.158113883008419,49,9.8132084721645,2.0625,1.53689167974882,1.70695860827834,1.47245667766257,1.1379724055189,1.0755535265921,1.76029962546816,2.10061107825744,1.07719369018182,0.8,0.05,10
