"endpoint","policy","scenario_type","p_ctrl","p_trt_true","sample_size_arr","true_arr","wager_arr","wager_misspecification","n_patients","n_events","event_coin","effect_scale","true_effect","rejection_rate","se","median_crossing","median_final_evalue","median_crossing_effect","median_final_effect","median_type_m_at_crossing","type_m_q25","type_m_q75","type_m_q90","n_freq","erte_inflation","target_power","alpha","n_sims"
"e-RTb","adaptive_half_kelly","null",0.4,0.4,0.05,0,NA,"adaptive",2942,NA,NA,"ARR",0,0.0346,0.0025846794772273,505,0.191856779423882,-0.0721435932259929,-0.000342024452213346,NA,NA,NA,NA,2942,1,0.8,0.05,5000
"e-RTb","fixed_5pp_full_kelly","null",0.4,0.4,0.05,0,0.05,"fixed_5pp_under_null",2942,NA,NA,"ARR",0,0.0368,0.00266254614983478,1463,0.0203260587377627,0.0602389827899663,-0.000288439910288457,NA,NA,NA,NA,2942,1,0.8,0.05,5000
"e-RTb","fixed_10pp_full_kelly","null",0.4,0.4,0.05,0,0.1,"fixed_10pp_under_null",2942,NA,NA,"ARR",0,0.0446,0.00291927525252416,512,4.42698890954463e-08,0.095641226013719,-0.000586013082737119,NA,NA,NA,NA,2942,1,0.8,0.05,5000
"e-RTe","adaptive_full_kelly","null",0.4,0.4,0.05,0,NA,"adaptive",2942,1177,0.5,"ARR_at_crossing_snapshot",0,0.0316,0.00247392158323581,233.5,0.20503376555272,0.0248481191225899,-0.000418712186229242,NA,NA,NA,NA,2942,1,0.8,0.05,5000
"e-RTe","fixed_5pp_full_kelly","null",0.4,0.4,0.05,0,0.05,"fixed_5pp_under_null",2942,1177,0.5,"ARR_at_crossing_snapshot",0,0.027,0.00229220417938717,764,0.0775824207704194,0.0442037147463504,-0.000119695247456586,NA,NA,NA,NA,2942,1,0.8,0.05,5000
"e-RTe","fixed_10pp_full_kelly","null",0.4,0.4,0.05,0,0.1,"fixed_10pp_under_null",2942,1177,0.5,"ARR_at_crossing_snapshot",0,0.0484,0.00303504332753257,287.5,1.06062160970604e-05,0.0654082742008729,0.000517432196828843,NA,NA,NA,NA,2942,1,0.8,0.05,5000
"e-RTb","adaptive_half_kelly","null",0.4,0.4,0.1,0,NA,"adaptive",712,NA,NA,"ARR",0,0.0204,0.00199919183671803,317,0.378158000606893,0.123003614959175,-0.000585477221544506,NA,NA,NA,NA,712,1,0.8,0.05,5000
"e-RTb","fixed_5pp_full_kelly","null",0.4,0.4,0.1,0,0.05,"fixed_5pp_under_null",712,NA,NA,"ARR",0,0.0028,0.000747283078893133,568.5,0.441769076398991,0.126374364434889,7.89664866229778e-06,NA,NA,NA,NA,712,1,0.8,0.05,5000
"e-RTb","fixed_10pp_full_kelly","null",0.4,0.4,0.1,0,0.1,"fixed_10pp_under_null",712,NA,NA,"ARR",0,0.0326,0.00251146331846595,426,0.028191352185856,0.10618948359333,-0.000750211934422429,NA,NA,NA,NA,712,1,0.8,0.05,5000
"e-RTe","adaptive_full_kelly","null",0.4,0.4,0.1,0,NA,"adaptive",712,285,0.5,"ARR_at_crossing_snapshot",0,0.0172,0.00183870389133215,144,0.416891202813576,0.0777783724849585,0.00031571637175079,NA,NA,NA,NA,712,1,0.8,0.05,5000
"e-RTe","fixed_5pp_full_kelly","null",0.4,0.4,0.1,0,0.05,"fixed_5pp_under_null",712,285,0.5,"ARR_at_crossing_snapshot",0,8e-04,0.000399839967987194,234.5,0.5944329388015,0.0817939619556004,-0.000540965618551159,NA,NA,NA,NA,712,1,0.8,0.05,5000
"e-RTe","fixed_10pp_full_kelly","null",0.4,0.4,0.1,0,0.1,"fixed_10pp_under_null",712,285,0.5,"ARR_at_crossing_snapshot",0,0.0202,0.0019895708079885,204,0.100448984136764,0.0747581238826376,0,NA,NA,NA,NA,712,1,0.8,0.05,5000
"e-RTb","adaptive_half_kelly","alternative",0.4,0.35,0.05,0.05,NA,"adaptive",2942,NA,NA,"ARR",0.05,0.4932,0.0070704138492736,1452.5,4.93472364215171,0.0791813728925988,0.0500309986857474,1.58362745785198,1.32243468780108,2.11792480039695,2.95280181746345,2942,1,0.8,0.05,5000
"e-RTb","fixed_under_full_kelly","alternative",0.4,0.35,0.05,0.05,0.025,"underestimated",2942,NA,NA,"ARR",0.05,0.5374,0.00705125861105661,2154,16.9179396311644,0.0672026153627476,0.049973493343081,1.34405230725495,1.17177765077604,1.59402209401537,1.89921559073247,2942,1,0.8,0.05,5000
"e-RTb","fixed_matched_full_kelly","alternative",0.4,0.35,0.05,0.05,0.05,"matched",2942,NA,NA,"ARR",0.05,0.7498,0.00612535647942224,1438,46.5564411320588,0.0652378085490669,0.0501364518674092,1.30475617098134,1.07905683752506,1.68813741277509,2.14836177078493,2942,1,0.8,0.05,5000
"e-RTb","fixed_over_full_kelly","alternative",0.4,0.35,0.05,0.05,0.1,"overestimated",2942,NA,NA,"ARR",0.05,0.5574,0.00702431832991643,824,0.546842889165035,0.0830085977608708,0.0496261975960347,1.66017195521742,1.37521380610861,2.12734604739665,2.70905898795377,2942,1,0.8,0.05,5000
"e-RTb","oracle_full_kelly","alternative",0.4,0.35,0.05,0.05,0.05,"oracle",2942,NA,NA,"ARR",0.05,0.7386,0.00621401705823214,1453,41.6247973973979,0.0647166939490539,0.0495717887348971,1.29433387898108,1.06388167728738,1.66971916971917,2.18585738772558,2942,1,0.8,0.05,5000
"e-RTe","adaptive_full_kelly","alternative",0.4,0.35,0.05,0.05,NA,"adaptive",2942,1104,0.466666666666667,"ARR_at_crossing_snapshot",0.05,0.3152,0.00657037228777792,555.5,1.49382375180647,0.0803199138604438,0.0499229918797391,1.60639827720888,1.34146326606413,2.02761448685158,2.66361875505263,2942,1,0.8,0.05,5000
"e-RTe","fixed_under_full_kelly","alternative",0.4,0.35,0.05,0.05,0.025,"underestimated",2942,1104,0.466666666666667,"ARR_at_crossing_snapshot",0.05,0.1416,0.00493050585640054,936,5.38340737314931,0.0769217878326619,0.0498717867149711,1.53843575665324,1.36235374102883,1.7512515266608,1.98555296828143,2942,1,0.8,0.05,5000
"e-RTe","fixed_matched_full_kelly","alternative",0.4,0.35,0.05,0.05,0.05,"matched",2942,1104,0.466666666666667,"ARR_at_crossing_snapshot",0.05,0.5118,0.00706909838664027,695,10.6045737307584,0.0673272254739028,0.0498859341384177,1.34654450947806,1.10001968870205,1.64035516002639,1.99528308129105,2942,1,0.8,0.05,5000
"e-RTe","fixed_over_full_kelly","alternative",0.4,0.35,0.05,0.05,0.1,"overestimated",2942,1104,0.466666666666667,"ARR_at_crossing_snapshot",0.05,0.4688,0.00705728786432862,404,0.49031817284712,0.0765273114659283,0.0497566284655244,1.53054622931857,1.23290515156148,1.93632939782726,2.46022677871413,2942,1,0.8,0.05,5000
"e-RTe","oracle_full_kelly","alternative",0.4,0.35,0.05,0.05,0.05,"oracle",2942,1104,0.466666666666667,"ARR_at_crossing_snapshot",0.05,0.5222,0.00706409456335347,686,11.0501420745168,0.0674154748641457,0.0503653062154223,1.34830949728291,1.1142572025974,1.63511255384351,1.97783919449112,2942,1,0.8,0.05,5000
"e-RTb","adaptive_half_kelly","alternative",0.4,0.3,0.1,0.1,NA,"adaptive",712,NA,NA,"ARR",0.1,0.5048,0.00707074196955312,396,6.40592042662819,0.146750986663038,0.100608175043579,1.46750986663038,1.25165303392785,1.7927559353626,2.19529396414754,712,1,0.8,0.05,5000
"e-RTb","fixed_under_full_kelly","alternative",0.4,0.3,0.1,0.1,0.05,"underestimated",712,NA,NA,"ARR",0.1,0.4188,0.00697719943817002,565,12.0322708084344,0.138694374456225,0.100380858942749,1.38694374456225,1.22994444316002,1.60036835631577,1.847565558522,712,1,0.8,0.05,5000
"e-RTb","fixed_matched_full_kelly","alternative",0.4,0.3,0.1,0.1,0.1,"matched",712,NA,NA,"ARR",0.1,0.7126,0.00640001937497067,404,33.1693545863241,0.127381241542038,0.100292955228295,1.27381241542038,1.06579063534417,1.56987650592302,1.89161516689353,712,1,0.8,0.05,5000
