"sim","true_hr","method","n_patients","n_events_available","crossed","crossing_event","final_evalue","log_final_evalue","final_log_hr","final_hr"
960,1,"Staggered entry, calendar-event order",631,630,FALSE,NA,0.0644566856672471,-2.7417618208071,0.108864076538367,1.11501078391546
961,1,"Simultaneous entry, time-on-study order",631,629,FALSE,NA,0.0740593909601794,-2.60288792713055,0.064109023193902,1.06620863389586
961,1,"Staggered entry, time-on-study order",631,629,FALSE,NA,0.0740593909601794,-2.60288792713055,0.064109023193902,1.06620863389586
961,1,"Staggered entry, calendar-event order",631,629,FALSE,NA,0.0743731218343883,-2.59866066808208,0.0697536304972881,1.07224398049379
962,1,"Simultaneous entry, time-on-study order",631,630,FALSE,NA,0.000719211734747657,-7.23735475855002,0.00505587298320511,1.00506867547585
962,1,"Staggered entry, time-on-study order",631,630,FALSE,NA,0.000719211734747657,-7.23735475855002,0.00505587298320511,1.00506867547585
962,1,"Staggered entry, calendar-event order",631,630,FALSE,NA,0.00111533115972723,-6.79860391392741,0.00968352220244615,1.00973055920894
963,1,"Simultaneous entry, time-on-study order",631,629,FALSE,NA,0.00237584804805933,-6.04240083236379,-0.0284233193457982,0.9719768231073
963,1,"Staggered entry, time-on-study order",631,629,FALSE,NA,0.00237584804805933,-6.04240083236379,-0.0284233193457982,0.9719768231073
963,1,"Staggered entry, calendar-event order",631,628,FALSE,NA,0.00435054529157693,-5.43745408735225,-0.0338521696043586,0.966714403847616
964,1,"Simultaneous entry, time-on-study order",631,630,FALSE,NA,0.0163703406024974,-4.1122840813099,-0.064199272618177,0.937818099441263
964,1,"Staggered entry, time-on-study order",631,630,FALSE,NA,0.0163703406024974,-4.1122840813099,-0.064199272618177,0.937818099441263
964,1,"Staggered entry, calendar-event order",631,630,FALSE,NA,0.0681229915356991,-2.68644050847812,-0.0628746353043087,0.939061191430654
965,1,"Simultaneous entry, time-on-study order",631,629,FALSE,NA,0.358991870657636,-1.02445553515795,-0.100486843910938,0.904397010662123
965,1,"Staggered entry, time-on-study order",631,629,FALSE,NA,0.358991870657636,-1.02445553515795,-0.100486843910938,0.904397010662123
965,1,"Staggered entry, calendar-event order",631,628,FALSE,NA,0.307835509287609,-1.17818969942432,-0.104839240555917,0.900469269890447
966,1,"Simultaneous entry, time-on-study order",631,630,FALSE,NA,0.113094328671634,-2.17953304148838,0.0714617297878218,1.07407704475835
966,1,"Staggered entry, time-on-study order",631,630,FALSE,NA,0.113094328671634,-2.17953304148838,0.0714617297878218,1.07407704475835
966,1,"Staggered entry, calendar-event order",631,630,FALSE,NA,0.0385066168591787,-3.25692518598357,0.064664709688582,1.06680127628066
967,1,"Simultaneous entry, time-on-study order",631,629,FALSE,NA,0.023975729853062,-3.73071321642106,-0.0372899032866474,0.963396802961797
967,1,"Staggered entry, time-on-study order",631,629,FALSE,NA,0.023975729853062,-3.73071321642106,-0.0372899032866474,0.963396802961797
967,1,"Staggered entry, calendar-event order",631,630,FALSE,NA,0.0100035271158126,-4.60481753659494,-0.0371630096085408,0.963519059682239
968,1,"Simultaneous entry, time-on-study order",631,625,FALSE,NA,1.74298306931337,0.555598052958507,0.143629077875169,1.15445581589396
968,1,"Staggered entry, time-on-study order",631,625,FALSE,NA,1.74298306931337,0.555598052958507,0.143629077875169,1.15445581589396
968,1,"Staggered entry, calendar-event order",631,626,FALSE,NA,0.750032311857037,-0.287638990903755,0.143089923328536,1.1538335535548
969,1,"Simultaneous entry, time-on-study order",631,630,FALSE,NA,0.0497932663545019,-2.99987551785876,0.069245548463553,1.07169933096655
969,1,"Staggered entry, time-on-study order",631,630,FALSE,NA,0.0497932663545019,-2.99987551785876,0.069245548463553,1.07169933096655
969,1,"Staggered entry, calendar-event order",631,629,FALSE,NA,0.0658988452542886,-2.71963436032388,0.0766602279588221,1.07967517062744
970,1,"Simultaneous entry, time-on-study order",631,630,FALSE,NA,0.000128687344969801,-8.95812477787985,-0.0135329328468032,0.986558225611823
970,1,"Staggered entry, time-on-study order",631,630,FALSE,NA,0.000128687344969801,-8.95812477787985,-0.0135329328468032,0.986558225611823
970,1,"Staggered entry, calendar-event order",631,630,FALSE,NA,1.96597017701618e-05,-10.8369396127315,-0.0176486138827258,0.982506210751895
971,1,"Simultaneous entry, time-on-study order",631,629,FALSE,NA,0.0436631531185708,-3.1312507106199,-0.0495656479529716,0.951642682691713
971,1,"Staggered entry, time-on-study order",631,629,FALSE,NA,0.0436631531185708,-3.1312507106199,-0.0495656479529716,0.951642682691713
971,1,"Staggered entry, calendar-event order",631,629,FALSE,NA,0.00536500463574792,-5.22785803882754,-0.0490669597120542,0.95211737405879
972,1,"Simultaneous entry, time-on-study order",631,630,FALSE,NA,0.0861061046241921,-2.45217496850329,0.0704166079061174,1.07295508972824
972,1,"Staggered entry, time-on-study order",631,630,FALSE,NA,0.0861061046241921,-2.45217496850329,0.0704166079061174,1.07295508972824
972,1,"Staggered entry, calendar-event order",631,630,FALSE,NA,0.0101508137232105,-4.59020140693334,0.0654251950060681,1.06761287155198
973,1,"Simultaneous entry, time-on-study order",631,628,FALSE,NA,0.0382757130973818,-3.26293970672019,-0.0974637777943007,0.907135199398496
973,1,"Staggered entry, time-on-study order",631,628,FALSE,NA,0.0382757130973818,-3.26293970672019,-0.0974637777943007,0.907135199398496
973,1,"Staggered entry, calendar-event order",631,629,FALSE,NA,0.010902754432397,-4.51873982145045,-0.0950582692545807,0.909319947528974
974,1,"Simultaneous entry, time-on-study order",631,630,FALSE,NA,0.00133051354294631,-6.62219028875857,-0.039722218979377,0.961056365295127
974,1,"Staggered entry, time-on-study order",631,630,FALSE,NA,0.00133051354294631,-6.62219028875857,-0.039722218979377,0.961056365295127
974,1,"Staggered entry, calendar-event order",631,630,FALSE,NA,0.00849465965405025,-4.76831758892802,-0.0486414272596935,0.95252261711583
975,1,"Simultaneous entry, time-on-study order",631,630,FALSE,NA,0.201143403210938,-1.60373717649604,-0.108190140185474,0.89745693757783
975,1,"Staggered entry, time-on-study order",631,630,FALSE,NA,0.201143403210938,-1.60373717649604,-0.108190140185474,0.89745693757783
975,1,"Staggered entry, calendar-event order",631,630,FALSE,NA,0.472152378953048,-0.750453508732224,-0.109657390592827,0.896141109081598
976,1,"Simultaneous entry, time-on-study order",631,629,FALSE,NA,1.74417743299116,0.556283059412153,0.182305138674875,1.19998029841884
976,1,"Staggered entry, time-on-study order",631,629,FALSE,NA,1.74417743299116,0.556283059412153,0.182305138674875,1.19998029841884
976,1,"Staggered entry, calendar-event order",631,630,FALSE,NA,3.02326531336408,1.10633747686982,0.17614942239832,1.19261624891772
977,1,"Simultaneous entry, time-on-study order",631,630,FALSE,NA,0.0130526639642791,-4.33876303085239,-0.0418182213283842,0.959044098490609
977,1,"Staggered entry, time-on-study order",631,630,FALSE,NA,0.0130526639642791,-4.33876303085239,-0.0418182213283842,0.959044098490609
977,1,"Staggered entry, calendar-event order",631,630,FALSE,NA,0.0131518556534812,-4.33119241598089,-0.0481475692516562,0.952993144215354
