"scenario_type","true_wr","design_wr","true_d","design_d","n_pairs","n_patients","design_method","kelly_fraction","burn_in","ramp","rejection_rate","se","median_crossing","median_final_evalue","target_power","alpha","n_sims"
"null",1,1.1,0,0.0844527324219911,2305,4610,"Yu-Ganju WR",0.5,0,1,0,0,NA,0.457526672942571,0.8,0.05,2
"null",1,1.1,0,0.0844527324219911,2305,4610,"Yu-Ganju WR",1,0,1,0,0,NA,0.000256508267841214,0.8,0.05,2
"null",1,1.1,0,0.0844527324219911,2305,4610,"Yu-Ganju WR",0.5,10,1,0,0,NA,0.497770516091869,0.8,0.05,2
"null",1,1.1,0,0.0844527324219911,2305,4610,"Yu-Ganju WR",1,10,1,0,0,NA,0.0592365494081315,0.8,0.05,2
"null",1,1.1,0,0.0844527324219911,2305,4610,"Yu-Ganju WR",0.5,30,1,0,0,NA,0.691762827026122,0.8,0.05,2
"null",1,1.1,0,0.0844527324219911,2305,4610,"Yu-Ganju WR",1,30,1,0,0,NA,0.156770641081574,0.8,0.05,2
"null",1,1.1,0,0.0844527324219911,2305,4610,"Yu-Ganju WR",0.5,0,20,0,0,NA,0.417075023035312,0.8,0.05,2
"null",1,1.1,0,0.0844527324219911,2305,4610,"Yu-Ganju WR",1,0,20,0,0,NA,0.0413905056207049,0.8,0.05,2
"null",1,1.1,0,0.0844527324219911,2305,4610,"Yu-Ganju WR",0.5,10,20,0,0,NA,0.677533153107775,0.8,0.05,2
"null",1,1.1,0,0.0844527324219911,2305,4610,"Yu-Ganju WR",1,10,20,0.5,0.353553390593274,43,0.0333453647341342,0.8,0.05,2
"null",1,1.1,0,0.0844527324219911,2305,4610,"Yu-Ganju WR",0.5,30,20,0,0,NA,0.361687225698979,0.8,0.05,2
"null",1,1.1,0,0.0844527324219911,2305,4610,"Yu-Ganju WR",1,30,20,0,0,NA,0.353222497544801,0.8,0.05,2
"null",1,1.1,0,0.0844527324219911,2305,4610,"Yu-Ganju WR",0.5,0,50,0,0,NA,0.579438308357068,0.8,0.05,2
"null",1,1.1,0,0.0844527324219911,2305,4610,"Yu-Ganju WR",1,0,50,0,0,NA,0.0719499941145558,0.8,0.05,2
"null",1,1.1,0,0.0844527324219911,2305,4610,"Yu-Ganju WR",0.5,10,50,0,0,NA,0.787862236899063,0.8,0.05,2
"null",1,1.1,0,0.0844527324219911,2305,4610,"Yu-Ganju WR",1,10,50,0,0,NA,0.133031471153067,0.8,0.05,2
"null",1,1.1,0,0.0844527324219911,2305,4610,"Yu-Ganju WR",0.5,30,50,0,0,NA,4.58880705598211,0.8,0.05,2
"null",1,1.1,0,0.0844527324219911,2305,4610,"Yu-Ganju WR",1,30,50,0,0,NA,0.120314753863204,0.8,0.05,2
"alternative",1.1,1.1,0.0844527324219911,0.0844527324219911,2305,4610,"Yu-Ganju WR",0.5,0,1,0,0,NA,0.733562446936051,0.8,0.05,2
"alternative",1.1,1.1,0.0844527324219911,0.0844527324219911,2305,4610,"Yu-Ganju WR",1,0,1,0,0,NA,0.0717436546399582,0.8,0.05,2
"alternative",1.1,1.1,0.0844527324219911,0.0844527324219911,2305,4610,"Yu-Ganju WR",0.5,10,1,0,0,NA,5.04248849292573,0.8,0.05,2
