"true_wr","design_wr","method","sample_size_rule","wager_rule","n_pairs","n_patients","rejection_rate","null_rejection_rate","se","median_crossing","median_final_evalue","alpha","n_sims","yu_ganju_pairs","n_ratio_to_yu_ganju"
1.1,1.1,"Final all-pairs WR test","Yu-Ganju 80% final-test N","No wager; fixed final analysis",2305,4610,0.800157246827856,0.05,NA,NA,NA,0.05,100,2305,1
1.1,1.1,"e-RTwr adaptive","Yu-Ganju 80% final-test N","Agnostic full Kelly, burn-in 10, ramp 50",2305,4610,0.28,0.02,0.0448998886412873,1052.5,0.853432604119438,0.05,100,2305,1
1.1,1.1,"e-RTwr fixed/GROW same N","Yu-Ganju 80% final-test N","Fixed lambda = (WR - 1) / (WR + 1)",2305,4610,0.59,0.03,0.0491833305094318,1380,17.5313227543017,0.05,100,2305,1
1.1,1.1,"Sokolova-style GROW e-design","N calibrated to 80% anytime power","Fixed GROW lambda from design WR",3900,7800,0.8,0.02,0.04,1615,NA,0.05,100,2305,1.69197396963124
1.2,1.2,"Final all-pairs WR test","Yu-Ganju 80% final-test N","No wager; fixed final analysis",630,1260,0.800217802310498,0.05,NA,NA,NA,0.05,100,630,1
1.2,1.2,"e-RTwr adaptive","Yu-Ganju 80% final-test N","Agnostic full Kelly, burn-in 10, ramp 50",630,1260,0.42,0.07,0.0493558507170123,349,3.27123478758374,0.05,100,630,1
1.2,1.2,"e-RTwr fixed/GROW same N","Yu-Ganju 80% final-test N","Fixed lambda = (WR - 1) / (WR + 1)",630,1260,0.48,0.04,0.0499599839871872,346,8.38326611717813,0.05,100,630,1
1.2,1.2,"Sokolova-style GROW e-design","N calibrated to 80% anytime power","Fixed GROW lambda from design WR",1016,2032,0.8,0.03,0.04,490.5,NA,0.05,100,630,1.61269841269841
1.3,1.3,"Final all-pairs WR test","Yu-Ganju 80% final-test N","No wager; fixed final analysis",305,610,0.801203198572053,0.05,NA,NA,NA,0.05,100,305,1
1.3,1.3,"e-RTwr adaptive","Yu-Ganju 80% final-test N","Agnostic full Kelly, burn-in 10, ramp 50",305,610,0.35,0.05,0.0476969600708473,145,2.59674463328461,0.05,100,305,1
1.3,1.3,"e-RTwr fixed/GROW same N","Yu-Ganju 80% final-test N","Fixed lambda = (WR - 1) / (WR + 1)",305,610,0.56,0.01,0.0496386945839634,213,13.9995194826759,0.05,100,305,1
1.3,1.3,"Sokolova-style GROW e-design","N calibrated to 80% anytime power","Fixed GROW lambda from design WR",541,1082,0.8,0.03,0.04,211,NA,0.05,100,305,1.77377049180328
1.5,1.5,"Final all-pairs WR test","Yu-Ganju 80% final-test N","No wager; fixed final analysis",128,256,0.80211054622179,0.05,NA,NA,NA,0.05,100,128,1
1.5,1.5,"e-RTwr adaptive","Yu-Ganju 80% final-test N","Agnostic full Kelly, burn-in 10, ramp 50",128,256,0.34,0,0.047370877129308,84,1.79648479128196,0.05,100,128,1
1.5,1.5,"e-RTwr fixed/GROW same N","Yu-Ganju 80% final-test N","Fixed lambda = (WR - 1) / (WR + 1)",128,256,0.53,0.06,0.0499099188538711,77,11.8949887659026,0.05,100,128,1
1.5,1.5,"Sokolova-style GROW e-design","N calibrated to 80% anytime power","Fixed GROW lambda from design WR",242,484,0.8,0.03,0.04,106,NA,0.05,100,128,1.890625
