"true_wr","design_wr","method","sample_size_rule","wager_rule","n_pairs","n_patients","rejection_rate","null_rejection_rate","se","median_crossing","median_final_evalue","alpha","n_sims","yu_ganju_pairs","n_ratio_to_yu_ganju"
1.1,1.1,"Final all-pairs WR test","Yu-Ganju 80% final-test N","No wager; fixed final analysis",2305,4610,0.800157246827856,0.05,NA,NA,NA,0.05,20,2305,1
1.1,1.1,"e-RTwr adaptive","Yu-Ganju 80% final-test N","Agnostic full Kelly, burn-in 10, ramp 50",2305,4610,0.25,0,0.0968245836551854,285,1.23824979805362,0.05,20,2305,1
1.1,1.1,"e-RTwr fixed/GROW same N","Yu-Ganju 80% final-test N","Fixed lambda = (WR - 1) / (WR + 1)",2305,4610,0.6,0.05,0.109544511501033,1415,13.2638316744971,0.05,20,2305,1
1.1,1.1,"Sokolova-style GROW e-design","N calibrated to 80% anytime power","Fixed GROW lambda from design WR",3513,7026,0.8,0.05,0.0894427190999916,1461,NA,0.05,20,2305,1.52407809110629
1.2,1.2,"Final all-pairs WR test","Yu-Ganju 80% final-test N","No wager; fixed final analysis",630,1260,0.800217802310498,0.05,NA,NA,NA,0.05,20,630,1
1.2,1.2,"e-RTwr adaptive","Yu-Ganju 80% final-test N","Agnostic full Kelly, burn-in 10, ramp 50",630,1260,0.45,0.15,0.111242977306435,436,1.9915719433844,0.05,20,630,1
1.2,1.2,"e-RTwr fixed/GROW same N","Yu-Ganju 80% final-test N","Fixed lambda = (WR - 1) / (WR + 1)",630,1260,0.4,0,0.109544511501033,455,5.33656986625923,0.05,20,630,1
1.2,1.2,"Sokolova-style GROW e-design","N calibrated to 80% anytime power","Fixed GROW lambda from design WR",995,1990,0.8,0,0.0894427190999916,476,NA,0.05,20,630,1.57936507936508
1.3,1.3,"Final all-pairs WR test","Yu-Ganju 80% final-test N","No wager; fixed final analysis",305,610,0.801203198572053,0.05,NA,NA,NA,0.05,20,305,1
1.3,1.3,"e-RTwr adaptive","Yu-Ganju 80% final-test N","Agnostic full Kelly, burn-in 10, ramp 50",305,610,0.2,0,0.0894427190999916,177,1.16113921393822,0.05,20,305,1
1.3,1.3,"e-RTwr fixed/GROW same N","Yu-Ganju 80% final-test N","Fixed lambda = (WR - 1) / (WR + 1)",305,610,0.55,0.05,0.111242977306435,158,13.9995194826759,0.05,20,305,1
1.3,1.3,"Sokolova-style GROW e-design","N calibrated to 80% anytime power","Fixed GROW lambda from design WR",453,906,0.8,0,0.0894427190999916,240,NA,0.05,20,305,1.48524590163934
1.5,1.5,"Final all-pairs WR test","Yu-Ganju 80% final-test N","No wager; fixed final analysis",128,256,0.80211054622179,0.05,NA,NA,NA,0.05,20,128,1
1.5,1.5,"e-RTwr adaptive","Yu-Ganju 80% final-test N","Agnostic full Kelly, burn-in 10, ramp 50",128,256,0.55,0,0.111242977306435,95,10.0243420540132,0.05,20,128,1
1.5,1.5,"e-RTwr fixed/GROW same N","Yu-Ganju 80% final-test N","Fixed lambda = (WR - 1) / (WR + 1)",128,256,0.55,0,0.111242977306435,66,14.2739865190831,0.05,20,128,1
1.5,1.5,"Sokolova-style GROW e-design","N calibrated to 80% anytime power","Fixed GROW lambda from design WR",259,518,0.8,0,0.0894427190999916,95.5,NA,0.05,20,128,2.0234375
