"scenario_type","true_wr","design_wr","true_d","design_d","n_pairs","n_patients","design_method","kelly_fraction","burn_in","ramp","rejection_rate","se","median_crossing","median_final_evalue","target_power","alpha","n_sims"
"null",1,1.1,0,0.0844527324219911,2305,4610,"Yu-Ganju WR",0.5,0,1,0.025,0.00493710441453287,32,0.277499523103798,0.8,0.05,1000
"null",1,1.1,0,0.0844527324219911,2305,4610,"Yu-Ganju WR",1,0,1,0.034,0.00573096850453743,6,6.11353895501399e-05,0.8,0.05,1000
"null",1,1.1,0,0.0844527324219911,2305,4610,"Yu-Ganju WR",0.5,10,1,0.015,0.00384382621875651,260,0.428168799489789,0.8,0.05,1000
"null",1,1.1,0,0.0844527324219911,2305,4610,"Yu-Ganju WR",1,10,1,0.043,0.00641490451994416,60,0.0633194509776283,0.8,0.05,1000
"null",1,1.1,0,0.0844527324219911,2305,4610,"Yu-Ganju WR",0.5,30,1,0.014,0.00371537346709587,463.5,0.476946306177652,0.8,0.05,1000
"null",1,1.1,0,0.0844527324219911,2305,4610,"Yu-Ganju WR",1,30,1,0.043,0.00641490451994416,246,0.113174363997917,0.8,0.05,1000
"null",1,1.1,0,0.0844527324219911,2305,4610,"Yu-Ganju WR",0.5,0,20,0.013,0.00358203852575597,315,0.432626546757158,0.8,0.05,1000
"null",1,1.1,0,0.0844527324219911,2305,4610,"Yu-Ganju WR",1,0,20,0.04,0.00619677335393187,72.5,0.0529096745089036,0.8,0.05,1000
"null",1,1.1,0,0.0844527324219911,2305,4610,"Yu-Ganju WR",0.5,10,20,0.01,0.00314642654451045,494,0.463003370051747,0.8,0.05,1000
"null",1,1.1,0,0.0844527324219911,2305,4610,"Yu-Ganju WR",1,10,20,0.027,0.00512552436341883,140,0.0860825200836532,0.8,0.05,1000
"null",1,1.1,0,0.0844527324219911,2305,4610,"Yu-Ganju WR",0.5,30,20,0.019,0.00431729081716764,345,0.510125625569553,0.8,0.05,1000
"null",1,1.1,0,0.0844527324219911,2305,4610,"Yu-Ganju WR",1,30,20,0.042,0.00634318531969546,247.5,0.126676020273995,0.8,0.05,1000
"null",1,1.1,0,0.0844527324219911,2305,4610,"Yu-Ganju WR",0.5,0,50,0.006,0.00244213021765835,733.5,0.47813608694225,0.8,0.05,1000
"null",1,1.1,0,0.0844527324219911,2305,4610,"Yu-Ganju WR",1,0,50,0.035,0.00581162627841812,259,0.0897320997941414,0.8,0.05,1000
"null",1,1.1,0,0.0844527324219911,2305,4610,"Yu-Ganju WR",0.5,10,50,0.013,0.00358203852575597,780,0.49691068345763,0.8,0.05,1000
"null",1,1.1,0,0.0844527324219911,2305,4610,"Yu-Ganju WR",1,10,50,0.036,0.00589101010014412,233,0.11091523968432,0.8,0.05,1000
"null",1,1.1,0,0.0844527324219911,2305,4610,"Yu-Ganju WR",0.5,30,50,0.008,0.00281709069786544,626,0.542554598628996,0.8,0.05,1000
"null",1,1.1,0,0.0844527324219911,2305,4610,"Yu-Ganju WR",1,30,50,0.038,0.00604615580348373,370.5,0.148268856458918,0.8,0.05,1000
"alternative",1.1,1.1,0.0844527324219911,0.0844527324219911,2305,4610,"Yu-Ganju WR",0.5,0,1,0.208,0.0128349522788361,1298,1.61008399499727,0.8,0.05,1000
"alternative",1.1,1.1,0.0844527324219911,0.0844527324219911,2305,4610,"Yu-Ganju WR",1,0,1,0.041,0.00627048642451285,6,0.000564950661263387,0.8,0.05,1000
"alternative",1.1,1.1,0.0844527324219911,0.0844527324219911,2305,4610,"Yu-Ganju WR",0.5,10,1,0.215,0.012991343271579,1277,2.22192488858678,0.8,0.05,1000
"alternative",1.1,1.1,0.0844527324219911,0.0844527324219911,2305,4610,"Yu-Ganju WR",1,10,1,0.248,0.0136563538325572,1150.5,0.514246961930419,0.8,0.05,1000
"alternative",1.1,1.1,0.0844527324219911,0.0844527324219911,2305,4610,"Yu-Ganju WR",0.5,30,1,0.235,0.0134080199880519,1372,2.65093034028499,0.8,0.05,1000
"alternative",1.1,1.1,0.0844527324219911,0.0844527324219911,2305,4610,"Yu-Ganju WR",1,30,1,0.28,0.0141985914794391,1104.5,0.949865730731803,0.8,0.05,1000
"alternative",1.1,1.1,0.0844527324219911,0.0844527324219911,2305,4610,"Yu-Ganju WR",0.5,0,20,0.215,0.012991343271579,1397,2.47424856968888,0.8,0.05,1000
"alternative",1.1,1.1,0.0844527324219911,0.0844527324219911,2305,4610,"Yu-Ganju WR",1,0,20,0.251,0.0137112727345057,1180,0.505402693169349,0.8,0.05,1000
"alternative",1.1,1.1,0.0844527324219911,0.0844527324219911,2305,4610,"Yu-Ganju WR",0.5,10,20,0.224,0.0131842330076497,1324,2.60894688106855,0.8,0.05,1000
"alternative",1.1,1.1,0.0844527324219911,0.0844527324219911,2305,4610,"Yu-Ganju WR",1,10,20,0.263,0.0139223202089307,1021,0.705488332027967,0.8,0.05,1000
"alternative",1.1,1.1,0.0844527324219911,0.0844527324219911,2305,4610,"Yu-Ganju WR",0.5,30,20,0.212,0.0129250145067617,1327,2.56512721961519,0.8,0.05,1000
"alternative",1.1,1.1,0.0844527324219911,0.0844527324219911,2305,4610,"Yu-Ganju WR",1,30,20,0.298,0.0144636095080032,1076.5,0.919125302083714,0.8,0.05,1000
"alternative",1.1,1.1,0.0844527324219911,0.0844527324219911,2305,4610,"Yu-Ganju WR",0.5,0,50,0.255,0.0137831418769452,1329,2.74602166768591,0.8,0.05,1000
"alternative",1.1,1.1,0.0844527324219911,0.0844527324219911,2305,4610,"Yu-Ganju WR",1,0,50,0.311,0.0146382717559144,1086,1.01551212814232,0.8,0.05,1000
"alternative",1.1,1.1,0.0844527324219911,0.0844527324219911,2305,4610,"Yu-Ganju WR",0.5,10,50,0.243,0.0135628536820243,1277,2.67172233428771,0.8,0.05,1000
"alternative",1.1,1.1,0.0844527324219911,0.0844527324219911,2305,4610,"Yu-Ganju WR",1,10,50,0.29,0.0143492160064583,1152,1.05607963967892,0.8,0.05,1000
"alternative",1.1,1.1,0.0844527324219911,0.0844527324219911,2305,4610,"Yu-Ganju WR",0.5,30,50,0.25,0.0136930639376292,1436,2.86405301246548,0.8,0.05,1000
"alternative",1.1,1.1,0.0844527324219911,0.0844527324219911,2305,4610,"Yu-Ganju WR",1,30,50,0.343,0.0150116954405557,1040,1.42687296081204,0.8,0.05,1000
"null",1,1.2,0,0.161482391852927,630,1260,"Yu-Ganju WR",0.5,0,1,0.025,0.00493710441453287,34,0.327088957257716,0.8,0.05,1000
"null",1,1.2,0,0.161482391852927,630,1260,"Yu-Ganju WR",1,0,1,0.022,0.00463853425124791,6,0.000108118207300152,0.8,0.05,1000
"null",1,1.2,0,0.161482391852927,630,1260,"Yu-Ganju WR",0.5,10,1,0.012,0.00344325427466517,122,0.496786604780672,0.8,0.05,1000
"null",1,1.2,0,0.161482391852927,630,1260,"Yu-Ganju WR",1,10,1,0.034,0.00573096850453743,56,0.120542425005849,0.8,0.05,1000
"null",1,1.2,0,0.161482391852927,630,1260,"Yu-Ganju WR",0.5,30,1,0.011,0.00329833291224521,273,0.573052525410397,0.8,0.05,1000
"null",1,1.2,0,0.161482391852927,630,1260,"Yu-Ganju WR",1,30,1,0.035,0.00581162627841812,175,0.217182659017273,0.8,0.05,1000
"null",1,1.2,0,0.161482391852927,630,1260,"Yu-Ganju WR",0.5,0,20,0.026,0.00503229569878401,118,0.498029765330961,0.8,0.05,1000
"null",1,1.2,0,0.161482391852927,630,1260,"Yu-Ganju WR",1,0,20,0.037,0.00596917079668525,64,0.100131773190525,0.8,0.05,1000
"null",1,1.2,0,0.161482391852927,630,1260,"Yu-Ganju WR",0.5,10,20,0.01,0.00314642654451045,295,0.546563730700331,0.8,0.05,1000
"null",1,1.2,0,0.161482391852927,630,1260,"Yu-Ganju WR",1,10,20,0.038,0.00604615580348373,93,0.164889563769032,0.8,0.05,1000
"null",1,1.2,0,0.161482391852927,630,1260,"Yu-Ganju WR",0.5,30,20,0.011,0.00329833291224521,209,0.606711176493763,0.8,0.05,1000
"null",1,1.2,0,0.161482391852927,630,1260,"Yu-Ganju WR",1,30,20,0.018,0.00420428352992516,111.5,0.24462888859495,0.8,0.05,1000
"null",1,1.2,0,0.161482391852927,630,1260,"Yu-Ganju WR",0.5,0,50,0.01,0.00314642654451045,261.5,0.568974255102151,0.8,0.05,1000
"null",1,1.2,0,0.161482391852927,630,1260,"Yu-Ganju WR",1,0,50,0.032,0.00556560868189635,105.5,0.172754296429265,0.8,0.05,1000
"null",1,1.2,0,0.161482391852927,630,1260,"Yu-Ganju WR",0.5,10,50,0.011,0.00329833291224521,250,0.589746000042079,0.8,0.05,1000
"null",1,1.2,0,0.161482391852927,630,1260,"Yu-Ganju WR",1,10,50,0.037,0.00596917079668525,178,0.215449136626445,0.8,0.05,1000
"null",1,1.2,0,0.161482391852927,630,1260,"Yu-Ganju WR",0.5,30,50,0.004,0.00199599599197994,444,0.635667787850925,0.8,0.05,1000
"null",1,1.2,0,0.161482391852927,630,1260,"Yu-Ganju WR",1,30,50,0.032,0.00556560868189635,213.5,0.278487688142101,0.8,0.05,1000
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,630,1260,"Yu-Ganju WR",0.5,0,1,0.199,0.0126253316788115,354,1.87859538481951,0.8,0.05,1000
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,630,1260,"Yu-Ganju WR",1,0,1,0.047,0.00669260786241059,6,0.00101693597912639,0.8,0.05,1000
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,630,1260,"Yu-Ganju WR",0.5,10,1,0.23,0.0133078923951165,385,2.71007412743105,0.8,0.05,1000
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,630,1260,"Yu-Ganju WR",1,10,1,0.291,0.0143638086871136,278,0.845881445362951,0.8,0.05,1000
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,630,1260,"Yu-Ganju WR",0.5,30,1,0.233,0.0133682833602524,382,3.22661328594284,0.8,0.05,1000
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,630,1260,"Yu-Ganju WR",1,30,1,0.302,0.0145188153786733,324.5,1.412086533377,0.8,0.05,1000
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,630,1260,"Yu-Ganju WR",0.5,0,20,0.23,0.0133078923951165,361.5,2.74294028897378,0.8,0.05,1000
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,630,1260,"Yu-Ganju WR",1,0,20,0.311,0.0146382717559144,296,1.00756260980727,0.8,0.05,1000
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,630,1260,"Yu-Ganju WR",0.5,10,20,0.274,0.0141040419738457,374.5,3.45212095299802,0.8,0.05,1000
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,630,1260,"Yu-Ganju WR",1,10,20,0.331,0.0148808265899445,304,1.42419658252345,0.8,0.05,1000
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,630,1260,"Yu-Ganju WR",0.5,30,20,0.234,0.0133882037630147,378.5,3.05594698684886,0.8,0.05,1000
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,630,1260,"Yu-Ganju WR",1,30,20,0.344,0.0150221170279026,313.5,1.75747010350293,0.8,0.05,1000
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,630,1260,"Yu-Ganju WR",0.5,0,50,0.241,0.0135247550809617,396,3.1305161139354,0.8,0.05,1000
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,630,1260,"Yu-Ganju WR",1,0,50,0.355,0.0151319199046255,323,1.85164199984827,0.8,0.05,1000
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,630,1260,"Yu-Ganju WR",0.5,10,50,0.239,0.0134862522592453,388,3.14624129604116,0.8,0.05,1000
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,630,1260,"Yu-Ganju WR",1,10,50,0.344,0.0150221170279026,317,2.0567776449797,0.8,0.05,1000
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,630,1260,"Yu-Ganju WR",0.5,30,50,0.25,0.0136930639376292,387.5,3.38512144254751,0.8,0.05,1000
"alternative",1.2,1.2,0.161482391852927,0.161482391852927,630,1260,"Yu-Ganju WR",1,30,50,0.325,0.0148113132435986,364,1.99172564873489,0.8,0.05,1000
"null",1,1.3,0,0.232229108033415,305,610,"Yu-Ganju WR",0.5,0,1,0.016,0.00396787096564392,80.5,0.362848416678054,0.8,0.05,1000
"null",1,1.3,0,0.232229108033415,305,610,"Yu-Ganju WR",1,0,1,0.03,0.00539444158370447,6,0.00017158950291277,0.8,0.05,1000
"null",1,1.3,0,0.232229108033415,305,610,"Yu-Ganju WR",0.5,10,1,0.015,0.00384382621875651,90,0.559317368045305,0.8,0.05,1000
"null",1,1.3,0,0.232229108033415,305,610,"Yu-Ganju WR",1,10,1,0.032,0.00556560868189635,41.5,0.17254621737158,0.8,0.05,1000
"null",1,1.3,0,0.232229108033415,305,610,"Yu-Ganju WR",0.5,30,1,0.007,0.00263647491928143,126,0.663721073259055,0.8,0.05,1000
"null",1,1.3,0,0.232229108033415,305,610,"Yu-Ganju WR",1,30,1,0.029,0.00530650544143695,73,0.302721492237195,0.8,0.05,1000
"null",1,1.3,0,0.232229108033415,305,610,"Yu-Ganju WR",0.5,0,20,0.005,0.00223047080231955,50,0.53682550240593,0.8,0.05,1000
"null",1,1.3,0,0.232229108033415,305,610,"Yu-Ganju WR",1,0,20,0.034,0.00573096850453743,59,0.145024916863251,0.8,0.05,1000
"null",1,1.3,0,0.232229108033415,305,610,"Yu-Ganju WR",0.5,10,20,0.005,0.00223047080231955,126,0.61296112526697,0.8,0.05,1000
"null",1,1.3,0,0.232229108033415,305,610,"Yu-Ganju WR",1,10,20,0.019,0.00431729081716764,91,0.237625314663074,0.8,0.05,1000
"null",1,1.3,0,0.232229108033415,305,610,"Yu-Ganju WR",0.5,30,20,0.005,0.00223047080231955,181,0.672226448178476,0.8,0.05,1000
"null",1,1.3,0,0.232229108033415,305,610,"Yu-Ganju WR",1,30,20,0.022,0.00463853425124791,151.5,0.347626624284271,0.8,0.05,1000
"null",1,1.3,0,0.232229108033415,305,610,"Yu-Ganju WR",0.5,0,50,0.007,0.00263647491928143,181,0.620396743167954,0.8,0.05,1000
"null",1,1.3,0,0.232229108033415,305,610,"Yu-Ganju WR",1,0,50,0.031,0.00548078461536302,91,0.246407008191745,0.8,0.05,1000
"null",1,1.3,0,0.232229108033415,305,610,"Yu-Ganju WR",0.5,10,50,0.003,0.00172945077987204,76,0.668229118913209,0.8,0.05,1000
"null",1,1.3,0,0.232229108033415,305,610,"Yu-Ganju WR",1,10,50,0.029,0.00530650544143695,122,0.313532447069411,0.8,0.05,1000
"null",1,1.3,0,0.232229108033415,305,610,"Yu-Ganju WR",0.5,30,50,0.005,0.00223047080231955,179,0.70925070420124,0.8,0.05,1000
"null",1,1.3,0,0.232229108033415,305,610,"Yu-Ganju WR",1,30,50,0.014,0.00371537346709587,121.5,0.398690864463833,0.8,0.05,1000
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,305,610,"Yu-Ganju WR",0.5,0,1,0.205,0.0127661662216971,183,2.15410217420439,0.8,0.05,1000
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,305,610,"Yu-Ganju WR",1,0,1,0.045,0.00655553201502365,6,0.00151859443190419,0.8,0.05,1000
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,305,610,"Yu-Ganju WR",0.5,10,1,0.246,0.0136192510807313,185.5,3.22772425507297,0.8,0.05,1000
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,305,610,"Yu-Ganju WR",1,10,1,0.315,0.0146892818068141,143,1.35132117357411,0.8,0.05,1000
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,305,610,"Yu-Ganju WR",0.5,30,1,0.212,0.0129250145067617,215,3.05753348647135,0.8,0.05,1000
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,305,610,"Yu-Ganju WR",1,30,1,0.335,0.0149256490646136,169,2.58712553641098,0.8,0.05,1000
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,305,610,"Yu-Ganju WR",0.5,0,20,0.251,0.0137112727345057,190,3.02262533496688,0.8,0.05,1000
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,305,610,"Yu-Ganju WR",1,0,20,0.298,0.0144636095080032,151.5,1.31723730603241,0.8,0.05,1000
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,305,610,"Yu-Ganju WR",0.5,10,20,0.227,0.0132465467198059,203,2.91988445636556,0.8,0.05,1000
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,305,610,"Yu-Ganju WR",1,10,20,0.351,0.0150930116279025,165,1.91980039323891,0.8,0.05,1000
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,305,610,"Yu-Ganju WR",0.5,30,20,0.225,0.0132051126462443,210,3.31817515214183,0.8,0.05,1000
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,305,610,"Yu-Ganju WR",1,30,20,0.349,0.0150731217735411,172,2.21132918704528,0.8,0.05,1000
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,305,610,"Yu-Ganju WR",0.5,0,50,0.219,0.0130781879478772,204,3.22633755494314,0.8,0.05,1000
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,305,610,"Yu-Ganju WR",1,0,50,0.33,0.0148694317309035,154,1.97330838302268,0.8,0.05,1000
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,305,610,"Yu-Ganju WR",0.5,10,50,0.191,0.0124305671632472,211,3.35598403367087,0.8,0.05,1000
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,305,610,"Yu-Ganju WR",1,10,50,0.362,0.0151972365909069,166.5,2.62670634884057,0.8,0.05,1000
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,305,610,"Yu-Ganju WR",0.5,30,50,0.2,0.0126491106406735,222,2.94814550079443,0.8,0.05,1000
"alternative",1.3,1.3,0.232229108033415,0.232229108033415,305,610,"Yu-Ganju WR",1,30,50,0.335,0.0149256490646136,176,2.33553480623602,0.8,0.05,1000
"null",1,1.5,0,0.358286909242583,128,256,"Yu-Ganju WR",0.5,0,1,0.013,0.00358203852575597,26,0.392462000627008,0.8,0.05,1000
"null",1,1.5,0,0.358286909242583,128,256,"Yu-Ganju WR",1,0,1,0.029,0.00530650544143695,6,0.000240493367493756,0.8,0.05,1000
"null",1,1.5,0,0.358286909242583,128,256,"Yu-Ganju WR",0.5,10,1,0.004,0.00199599599197994,73,0.638728021276932,0.8,0.05,1000
"null",1,1.5,0,0.358286909242583,128,256,"Yu-Ganju WR",1,10,1,0.032,0.00556560868189635,42,0.277487347256372,0.8,0.05,1000
"null",1,1.5,0,0.358286909242583,128,256,"Yu-Ganju WR",0.5,30,1,0.002,0.00141279864099595,94,0.76536326463727,0.8,0.05,1000
"null",1,1.5,0,0.358286909242583,128,256,"Yu-Ganju WR",1,30,1,0.016,0.00396787096564392,77.5,0.478171053574704,0.8,0.05,1000
"null",1,1.5,0,0.358286909242583,128,256,"Yu-Ganju WR",0.5,0,20,0.01,0.00314642654451045,73,0.604891895058963,0.8,0.05,1000
"null",1,1.5,0,0.358286909242583,128,256,"Yu-Ganju WR",1,0,20,0.022,0.00463853425124791,39.5,0.226736351964047,0.8,0.05,1000
"null",1,1.5,0,0.358286909242583,128,256,"Yu-Ganju WR",0.5,10,20,0.002,0.00141279864099595,116,0.703819383531225,0.8,0.05,1000
"null",1,1.5,0,0.358286909242583,128,256,"Yu-Ganju WR",1,10,20,0.025,0.00493710441453287,59,0.368871555235945,0.8,0.05,1000
"null",1,1.5,0,0.358286909242583,128,256,"Yu-Ganju WR",0.5,30,20,0.001,0.000999499874937461,97,0.780278671448312,0.8,0.05,1000
"null",1,1.5,0,0.358286909242583,128,256,"Yu-Ganju WR",1,30,20,0.01,0.00314642654451045,102,0.542708395624329,0.8,0.05,1000
"null",1,1.5,0,0.358286909242583,128,256,"Yu-Ganju WR",0.5,0,50,0.005,0.00223047080231955,79,0.693723545643193,0.8,0.05,1000
"null",1,1.5,0,0.358286909242583,128,256,"Yu-Ganju WR",1,0,50,0.02,0.00442718872423573,84,0.391826910916256,0.8,0.05,1000
"null",1,1.5,0,0.358286909242583,128,256,"Yu-Ganju WR",0.5,10,50,0.001,0.000999499874937461,84,0.751893365267144,0.8,0.05,1000
"null",1,1.5,0,0.358286909242583,128,256,"Yu-Ganju WR",1,10,50,0.008,0.00281709069786544,68.5,0.482792934623322,0.8,0.05,1000
"null",1,1.5,0,0.358286909242583,128,256,"Yu-Ganju WR",0.5,30,50,0,0,NA,0.823162399180806,0.8,0.05,1000
"null",1,1.5,0,0.358286909242583,128,256,"Yu-Ganju WR",1,30,50,0.009,0.00298646948753876,119,0.641791039080659,0.8,0.05,1000
"alternative",1.5,1.5,0.358286909242583,0.358286909242583,128,256,"Yu-Ganju WR",0.5,0,1,0.226,0.0132258837133857,73.5,2.34957396402696,0.8,0.05,1000
"alternative",1.5,1.5,0.358286909242583,0.358286909242583,128,256,"Yu-Ganju WR",1,0,1,0.062,0.00762600813007697,6,0.00249373464804137,0.8,0.05,1000
"alternative",1.5,1.5,0.358286909242583,0.358286909242583,128,256,"Yu-Ganju WR",0.5,10,1,0.22,0.0130996183150503,86.5,3.01420704500767,0.8,0.05,1000
"alternative",1.5,1.5,0.358286909242583,0.358286909242583,128,256,"Yu-Ganju WR",1,10,1,0.312,0.0146511433000978,65,1.99670290673767,0.8,0.05,1000
