"endpoint","policy","wager_misspecification","design_d","true_d","design_d_wager","n_patients","rejection_rate","se","median_crossing","median_final_evalue","median_crossing_d","median_final_d","median_type_m_at_crossing","type_m_q75","type_m_q90","scenario_type","target_power","alpha","n_sims"
"e-RTc","adaptive","adaptive",0.2,0,NA,788,0.038,0.00604615580348373,67,3.79380280352412e-94,-0.403068069053326,0.0018300656972097,NA,NA,NA,"null",0.8,0.05,1000
"e-RTc","design","design_under_null",0.2,0,0.2,788,0.03,0.00539444158370447,460.5,0.0343614452457428,0.221131570550402,0.0066002279024219,NA,NA,NA,"null",0.8,0.05,1000
"e-RTc","adaptive","adaptive",0.4,0,NA,200,0.043,0.00641490451994416,63,2.68424609065471e-19,0.442578366231113,0.00701723073584722,NA,NA,NA,"null",0.8,0.05,1000
"e-RTc","design","design_under_null",0.4,0,0.4,200,0.029,0.00530650544143695,134,0.0499088197191896,0.352207811705534,0.00870969509031516,NA,NA,NA,"null",0.8,0.05,1000
"e-RTc","adaptive","adaptive",0.6,0,NA,90,0.04,0.00619677335393187,63.5,3.81313495957166e-05,-0.30420856235738,-0.0112174933168152,NA,NA,NA,"null",0.8,0.05,1000
"e-RTc","design","design_under_null",0.6,0,0.6,90,0.012,0.00344325427466517,73,0.207790325948361,0.552731573455825,0.00465123946945342,NA,NA,NA,"null",0.8,0.05,1000
"e-RTc","adaptive","adaptive",0.2,0.2,NA,788,0.098,0.00940191469861326,64.5,2.99674460008218e-70,0.595016474979364,0.198312695830375,2.97508237489682,3.50918693604498,4.08352477256178,"alternative",0.8,0.05,1000
"e-RTc","design","underestimated",0.2,0.2,0.1,788,0.521,0.015797436500901,587,15.791873754482,0.26589318519006,0.199588853018474,1.3294659259503,1.58333763264774,1.86581318550341,"alternative",0.8,0.05,1000
"e-RTc","design","matched",0.2,0.2,0.2,788,0.734,0.0139729739139526,401,38.5785521550942,0.256788152554834,0.199265742275247,1.28394076277417,1.64508263664786,2.09458019835265,"alternative",0.8,0.05,1000
"e-RTc","design","overestimated",0.2,0.2,0.4,788,0.592,0.0155414285057713,252,1.24606304790572,0.315371255244108,0.202887476954613,1.57685627622054,2.00141476803144,2.48988720677092,"alternative",0.8,0.05,1000
"e-RTc","oracle","oracle",0.2,0.2,0.2,788,0.731,0.0140228028582021,406,37.3300274859565,0.256282184463954,0.196455835213315,1.28141092231977,1.64048615321717,2.12614051695127,"alternative",0.8,0.05,1000
"e-RTc","adaptive","adaptive",0.4,0.4,NA,200,0.316,0.0147018366199601,67,4.76437637487441e-09,0.665777542377336,0.398354132148475,1.66444385594334,1.99725095589229,2.34350981850109,"alternative",0.8,0.05,1000
"e-RTc","design","underestimated",0.4,0.4,0.2,200,0.344,0.0150221170279026,168,9.90065788588208,0.557593892761242,0.39382386350749,1.39398473190311,1.60883135461915,1.91054646340178,"alternative",0.8,0.05,1000
"e-RTc","design","matched",0.4,0.4,0.4,200,0.666,0.0149145566477854,130,22.9860555876883,0.514332362713549,0.395661409815682,1.28583090678387,1.54481959327484,1.8429175093853,"alternative",0.8,0.05,1000
"e-RTc","design","overestimated",0.4,0.4,0.8,200,0.611,0.0154168414404508,93,1.88909018496802,0.547356043093039,0.40998272824712,1.3683901077326,1.66668344685701,2.00416574411241,"alternative",0.8,0.05,1000
"e-RTc","oracle","oracle",0.4,0.4,0.4,200,0.674,0.0148230900961979,131,25.9429465463301,0.504165452449374,0.398685491995448,1.26041363112343,1.52722400166813,1.86869743179519,"alternative",0.8,0.05,1000
"e-RTc","adaptive","adaptive",0.6,0.6,NA,90,0.538,0.0157656588825206,62,0.646993153817537,0.765720174168309,0.605438731809707,1.27620029028051,1.54332842005526,1.79171879227946,"alternative",0.8,0.05,1000
"e-RTc","design","underestimated",0.6,0.6,0.3,90,0.057,0.00733150734842433,85,4.77694421755266,0.96174656655464,0.589465123542401,1.60291094425773,1.88031374842289,2.08579621058493,"alternative",0.8,0.05,1000
"e-RTc","design","matched",0.6,0.6,0.6,90,0.447,0.0157223089907303,77,9.60963595081682,0.776985311506953,0.593818676769579,1.29497551917826,1.52778576095949,1.74644359893756,"alternative",0.8,0.05,1000
"e-RTc","design","overestimated",0.6,0.6,1.2,90,0.555,0.0157154382694216,67,4.11216323663857,0.749290242360738,0.605681804254406,1.24881707060123,1.48760488127153,1.75190069619526,"alternative",0.8,0.05,1000
"e-RTc","oracle","oracle",0.6,0.6,0.6,90,0.444,0.0157119063133663,77,9.79560701018686,0.765851835394499,0.593827846882585,1.2764197256575,1.50417156020142,1.75287939909382,"alternative",0.8,0.05,1000
