"arr","target_power","n_patients","type1_error","type1_se","eRTb_power","power_se","median_crossing","median_crossing_frac","median_null_final_evalue","median_alt_final_evalue","n_sims","alpha"
0.05,0.8,2942,0.0306,0.00243571919563812,0.4754,0.00706250437168006,1450,0.492861998640381,0.191860982019682,4.52929060430482,5000,0.05
0.1,0.8,712,0.0212,0.00203718236787971,0.4952,0.00707074196955312,401,0.563202247191011,0.378667847759524,6.23666682366751,5000,0.05
0.05,0.9,3938,0.035,0.00259903828367341,0.6356,0.00680606553009887,1837,0.466480446927374,0.167768906026685,15.7885607919311,5000,0.05
0.1,0.9,954,0.0246,0.00219065469666034,0.6494,0.00674803141664293,479,0.5020964360587,0.327669786487343,17.8301369700763,5000,0.05
