"endpoint","policy","scenario_type","p_ctrl","p_trt_true","sample_size_arr","true_arr","wager_arr","wager_misspecification","n_patients","n_events","event_coin","effect_scale","true_effect","rejection_rate","se","median_crossing","median_final_evalue","median_crossing_effect","median_final_effect","median_type_m_at_crossing","type_m_q25","type_m_q75","type_m_q90","n_freq","erte_inflation","target_power","alpha","n_sims"
"e-RTb","adaptive_half_kelly","null",0.4,0.4,0.05,0,NA,"adaptive",2942,NA,NA,"ARR",0,0,0,NA,0.221098599384939,NA,0.00543328261807263,NA,NA,NA,NA,2942,1,0.8,0.05,20
"e-RTb","fixed_5pp_full_kelly","null",0.4,0.4,0.05,0,0.05,"fixed_5pp_under_null",2942,NA,NA,"ARR",0,0,0,NA,0.0318152024880019,NA,-0.000100398123788786,NA,NA,NA,NA,2942,1,0.8,0.05,20
"e-RTb","fixed_10pp_full_kelly","null",0.4,0.4,0.05,0,0.1,"fixed_10pp_under_null",2942,NA,NA,"ARR",0,0.05,0.0487339717240448,567,1.52288033568801e-08,0.110348692403487,-0.00259559640848447,NA,NA,NA,NA,2942,1,0.8,0.05,20
"e-RTe","adaptive_full_kelly","null",0.4,0.4,0.05,0,NA,"adaptive",2942,1177,0.5,"ARR_at_crossing_snapshot",0,0,0,NA,0.229176995090807,NA,-0.00218045604804004,NA,NA,NA,NA,2942,1,0.8,0.05,20
"e-RTe","fixed_5pp_full_kelly","null",0.4,0.4,0.05,0,0.05,"fixed_5pp_under_null",2942,1177,0.5,"ARR_at_crossing_snapshot",0,0.05,0.0487339717240448,782,0.0624682129794795,0.0389186989909075,-0.000303347978909241,NA,NA,NA,NA,2942,1,0.8,0.05,20
"e-RTe","fixed_10pp_full_kelly","null",0.4,0.4,0.05,0,0.1,"fixed_10pp_under_null",2942,1177,0.5,"ARR_at_crossing_snapshot",0,0,0,NA,2.21417956101362e-06,NA,-0.00472872415749967,NA,NA,NA,NA,2942,1,0.8,0.05,20
"e-RTb","adaptive_half_kelly","null",0.4,0.4,0.1,0,NA,"adaptive",712,NA,NA,"ARR",0,0,0,NA,0.368403454399736,NA,0.00262013558412452,NA,NA,NA,NA,712,1,0.8,0.05,20
"e-RTb","fixed_5pp_full_kelly","null",0.4,0.4,0.1,0,0.05,"fixed_5pp_under_null",712,NA,NA,"ARR",0,0,0,NA,0.910331134734671,NA,0.017949058545778,NA,NA,NA,NA,712,1,0.8,0.05,20
"e-RTb","fixed_10pp_full_kelly","null",0.4,0.4,0.1,0,0.1,"fixed_10pp_under_null",712,NA,NA,"ARR",0,0,0,NA,0.0279915999665579,NA,0.00410085740263327,NA,NA,NA,NA,712,1,0.8,0.05,20
"e-RTe","adaptive_full_kelly","null",0.4,0.4,0.1,0,NA,"adaptive",712,285,0.5,"ARR_at_crossing_snapshot",0,0,0,NA,0.423731450911255,NA,0.00428691356332583,NA,NA,NA,NA,712,1,0.8,0.05,20
"e-RTe","fixed_5pp_full_kelly","null",0.4,0.4,0.1,0,0.05,"fixed_5pp_under_null",712,285,0.5,"ARR_at_crossing_snapshot",0,0,0,NA,0.59140380294059,NA,-0.00461948646342689,NA,NA,NA,NA,712,1,0.8,0.05,20
"e-RTe","fixed_10pp_full_kelly","null",0.4,0.4,0.1,0,0.1,"fixed_10pp_under_null",712,285,0.5,"ARR_at_crossing_snapshot",0,0.05,0.0487339717240448,221,0.0426170964311812,0.04234595192042,-0.00717215913956706,NA,NA,NA,NA,712,1,0.8,0.05,20
"e-RTb","adaptive_half_kelly","alternative",0.4,0.35,0.05,0.05,NA,"adaptive",2942,NA,NA,"ARR",0.05,0.75,0.0968245836551854,1595,38.2027163177551,0.0806381325906135,0.0609806277300924,1.61276265181227,1.29694371864937,2.13211882304284,2.5553610083766,2942,1,0.8,0.05,20
"e-RTb","fixed_under_full_kelly","alternative",0.4,0.35,0.05,0.05,0.025,"underestimated",2942,NA,NA,"ARR",0.05,0.55,0.111242977306435,1873,20.2121624134397,0.07278993378239,0.0525957973117019,1.4557986756478,1.29322217694311,1.78007086625524,2.06765204492477,2942,1,0.8,0.05,20
"e-RTb","fixed_matched_full_kelly","alternative",0.4,0.35,0.05,0.05,0.05,"matched",2942,NA,NA,"ARR",0.05,0.7,0.102469507659596,1557,77.774438868315,0.0641210987185831,0.0521653867410968,1.28242197437166,1.0626235196589,1.62307906903374,1.77322700737816,2942,1,0.8,0.05,20
"e-RTb","fixed_over_full_kelly","alternative",0.4,0.35,0.05,0.05,0.1,"overestimated",2942,NA,NA,"ARR",0.05,0.5,0.111803398874989,1258,0.258097462260732,0.0717760210707592,0.0471705274150849,1.43552042141518,1.37642068740848,1.55919008685378,1.69509921645454,2942,1,0.8,0.05,20
"e-RTb","oracle_full_kelly","alternative",0.4,0.35,0.05,0.05,0.05,"oracle",2942,NA,NA,"ARR",0.05,0.85,0.0798435971133566,1330,60.4033145590618,0.0694863760909272,0.052147593978753,1.38972752181854,1.11973867481159,1.72305940660371,2.66187638005744,2942,1,0.8,0.05,20
"e-RTe","adaptive_full_kelly","alternative",0.4,0.35,0.05,0.05,NA,"adaptive",2942,1104,0.466666666666667,"ARR_at_crossing_snapshot",0.05,0.25,0.0968245836551854,853,1.60200790798061,0.0759442143640935,0.0441216655397428,1.51888428728187,1.2997706819458,1.61782606735494,1.80850223302378,2942,1,0.8,0.05,20
"e-RTe","fixed_under_full_kelly","alternative",0.4,0.35,0.05,0.05,0.025,"underestimated",2942,1104,0.466666666666667,"ARR_at_crossing_snapshot",0.05,0.15,0.0798435971133566,905,4.32228908110594,0.0677320517019976,0.0526571340611963,1.35464103403995,1.30466573277983,1.47271693645732,1.54356247790773,2942,1,0.8,0.05,20
"e-RTe","fixed_matched_full_kelly","alternative",0.4,0.35,0.05,0.05,0.05,"matched",2942,1104,0.466666666666667,"ARR_at_crossing_snapshot",0.05,0.45,0.111242977306435,776,6.30011979513059,0.0679832896106988,0.0452574203505185,1.35966579221398,1.22335812995751,1.39167796014657,1.58966131828804,2942,1,0.8,0.05,20
"e-RTe","fixed_over_full_kelly","alternative",0.4,0.35,0.05,0.05,0.1,"overestimated",2942,1104,0.466666666666667,"ARR_at_crossing_snapshot",0.05,0.45,0.111242977306435,354,0.654016281665252,0.0691871005169326,0.0508214813451111,1.38374201033865,1.31609870740306,2.23433456199514,2.89083736215421,2942,1,0.8,0.05,20
"e-RTe","oracle_full_kelly","alternative",0.4,0.35,0.05,0.05,0.05,"oracle",2942,1104,0.466666666666667,"ARR_at_crossing_snapshot",0.05,0.35,0.106653645038508,622,6.61498820273874,0.0634132876908978,0.0553641539474744,1.26826575381796,1.10943829007738,1.49613887010796,1.59518561323257,2942,1,0.8,0.05,20
"e-RTb","adaptive_half_kelly","alternative",0.4,0.3,0.1,0.1,NA,"adaptive",712,NA,NA,"ARR",0.1,0.6,0.109544511501033,460.5,8.75072831578984,0.132295305264107,0.110850207445082,1.32295305264107,1.23230598848812,1.66261013237882,1.88126925421662,712,1,0.8,0.05,20
"e-RTb","fixed_under_full_kelly","alternative",0.4,0.3,0.1,0.1,0.05,"underestimated",712,NA,NA,"ARR",0.1,0.45,0.111242977306435,547,14.867753316654,0.147410678442393,0.107382070609347,1.47410678442393,1.31762564465568,1.88383838383838,2.15796063612196,712,1,0.8,0.05,20
"e-RTb","fixed_matched_full_kelly","alternative",0.4,0.3,0.1,0.1,0.1,"matched",712,NA,NA,"ARR",0.1,0.6,0.109544511501033,550,11.1696814861927,0.109430714968162,0.0920564481051101,1.09430714968162,1.00491165201338,1.23572524219076,1.47077814067316,712,1,0.8,0.05,20
"e-RTb","fixed_over_full_kelly","alternative",0.4,0.3,0.1,0.1,0.15,"overestimated",712,NA,NA,"ARR",0.1,0.55,0.111242977306435,305,15.2926711280144,0.142082674497402,0.0976545507819334,1.42082674497402,1.19345989372615,1.76275533998694,2.00595238095238,712,1,0.8,0.05,20
"e-RTb","oracle_full_kelly","alternative",0.4,0.3,0.1,0.1,0.1,"oracle",712,NA,NA,"ARR",0.1,0.85,0.0798435971133566,381,32.7657296911534,0.124519002118553,0.098607055554317,1.24519002118553,1.08791208791209,1.89520809152711,2.04885407510547,712,1,0.8,0.05,20
"e-RTe","adaptive_full_kelly","alternative",0.4,0.3,0.1,0.1,NA,"adaptive",712,250,0.428571428571429,"ARR_at_crossing_snapshot",0.1,0.1,0.0670820393249937,174.5,2.06088729967659,0.191991351756448,0.0882235150274912,1.91991351756449,1.88181959408552,1.95800744104345,1.98086379513083,712,1,0.8,0.05,20
