"baseline","trt_rate","event_coin","tilt_from_half","arr","tilt_over_arr"
0.1,0.05,0.333333333333333,0.166666666666667,0.05,3.33333333333333
0.15,0.1,0.4,0.1,0.05,2
0.2,0.15,0.428571428571429,0.0714285714285714,0.05,1.42857142857143
0.25,0.2,0.444444444444444,0.0555555555555555,0.05,1.11111111111111
0.3,0.25,0.454545454545455,0.0454545454545455,0.05,0.909090909090909
0.35,0.3,0.461538461538462,0.0384615384615384,0.05,0.769230769230769
0.4,0.35,0.466666666666667,0.0333333333333333,0.05,0.666666666666665
