"true_wr","sim","n_pairs","internal_wr","buysetest_wr","abs_diff","log_ratio","wins","losses","ties"
1,1,20,2.05343511450382,2.05343511450382,4.44089209850063e-16,2.22044604925031e-16,269,131,0
1,2,20,1.5974025974026,1.5974025974026,0,0,246,154,0
1,3,20,1.42424242424242,1.42424242424242,0,0,235,165,0
1,4,20,1.3121387283237,1.3121387283237,0,0,227,173,0
1,5,20,1.42424242424242,1.42424242424242,0,0,235,165,0
1,6,20,0.785714285714286,0.785714285714286,0,0,176,224,0
1,7,20,1.08333333333333,1.08333333333333,2.22044604925031e-16,-2.22044604925031e-16,208,192,0
1,8,20,1.35294117647059,1.35294117647059,2.22044604925031e-16,2.22044604925031e-16,230,170,0
1,9,20,0.785714285714286,0.785714285714286,0,0,176,224,0
1,10,20,0.739130434782609,0.739130434782609,1.11022302462516e-16,-1.11022302462516e-16,170,230,0
1,11,20,0.612903225806452,0.612903225806452,0,0,152,248,0
1,12,20,0.746724890829694,0.746724890829694,0,0,171,229,0
1,13,20,0.746724890829694,0.746724890829694,0,0,171,229,0
1,14,20,1.1978021978022,1.1978021978022,0,0,218,182,0
1,15,20,1.66666666666667,1.66666666666667,0,0,250,150,0
1,16,20,0.6,0.6,0,0,150,250,0
1,17,20,1.5,1.5,2.22044604925031e-16,2.22044604925031e-16,240,160,0
1,18,20,1.36686390532544,1.36686390532544,0,0,231,169,0
1,19,20,0.82648401826484,0.82648401826484,0,0,181,219,0
1,20,20,1.03045685279188,1.03045685279188,2.22044604925031e-16,2.22044604925031e-16,203,197,0
1.1,1,20,1.06185567010309,1.06185567010309,0,0,206,194,0
1.1,2,20,1.23463687150838,1.23463687150838,2.22044604925031e-16,2.22044604925031e-16,221,179,0
1.1,3,20,1.1978021978022,1.1978021978022,0,0,218,182,0
1.1,4,20,1.22222222222222,1.22222222222222,0,0,220,180,0
1.1,5,20,1.23463687150838,1.23463687150838,2.22044604925031e-16,2.22044604925031e-16,221,179,0
1.1,6,20,1.05128205128205,1.05128205128205,0,0,205,195,0
1.1,7,20,0.818181818181818,0.818181818181818,1.11022302462516e-16,2.22044604925031e-16,180,220,0
1.1,8,20,1.1505376344086,1.1505376344086,0,0,214,186,0
1.1,9,20,0.86046511627907,0.86046511627907,1.11022302462516e-16,-1.11022302462516e-16,185,215,0
1.1,10,20,2.00751879699248,2.00751879699248,0,0,267,133,0
1.1,11,20,0.970443349753695,0.970443349753695,0,0,197,203,0
1.1,12,20,1.12765957446809,1.12765957446809,2.22044604925031e-16,-2.22044604925031e-16,212,188,0
1.1,13,20,2.05343511450382,2.05343511450382,4.44089209850063e-16,2.22044604925031e-16,269,131,0
1.1,14,20,0.84331797235023,0.84331797235023,0,0,183,217,0
1.1,15,20,1.10526315789474,1.10526315789474,0,0,210,190,0
1.1,16,20,0.587301587301587,0.587301587301587,0,0,148,252,0
1.1,17,20,2.17460317460317,2.17460317460317,4.44089209850063e-16,-2.22044604925031e-16,274,126,0
1.1,18,20,0.801801801801802,0.801801801801802,1.11022302462516e-16,2.22044604925031e-16,178,222,0
1.1,19,20,0.652892561983471,0.652892561983471,0,0,158,242,0
1.1,20,20,0.785714285714286,0.785714285714286,0,0,176,224,0
1.2,1,20,1.77777777777778,1.77777777777778,2.22044604925031e-16,-1.11022302462516e-16,256,144,0
1.2,2,20,1.01005025125628,1.01005025125628,2.22044604925031e-16,2.22044604925031e-16,201,199,0
1.2,3,20,1.24719101123595,1.24719101123596,2.22044604925031e-16,-2.22044604925031e-16,222,178,0
1.2,4,20,1.5,1.5,2.22044604925031e-16,2.22044604925031e-16,240,160,0
1.2,5,20,1.5,1.5,2.22044604925031e-16,2.22044604925031e-16,240,160,0
1.2,6,20,0.731601731601732,0.731601731601732,0,0,169,231,0
1.2,7,20,1.02020202020202,1.02020202020202,0,0,202,198,0
1.2,8,20,1.09424083769634,1.09424083769634,0,0,209,191,0
1.2,9,20,1.77777777777778,1.77777777777778,2.22044604925031e-16,-1.11022302462516e-16,256,144,0
1.2,10,20,0.515151515151515,0.515151515151515,0,0,136,264,0
1.2,11,20,0.834862385321101,0.834862385321101,0,0,182,218,0
1.2,12,20,1.28571428571429,1.28571428571429,0,0,225,175,0
1.2,13,20,0.418439716312057,0.418439716312057,0,0,118,282,0
1.2,14,20,0.785714285714286,0.785714285714286,0,0,176,224,0
1.2,15,20,1.45398773006135,1.45398773006135,2.22044604925031e-16,-1.11022302462516e-16,237,163,0
1.2,16,20,0.87793427230047,0.87793427230047,1.11022302462516e-16,-1.11022302462516e-16,187,213,0
1.2,17,20,0.923076923076923,0.923076923076923,1.11022302462516e-16,2.22044604925031e-16,192,208,0
1.2,18,20,0.904761904761905,0.904761904761905,1.11022302462516e-16,2.22044604925031e-16,190,210,0
1.2,19,20,0.970443349753695,0.970443349753695,0,0,197,203,0
1.2,20,20,1.53164556962025,1.53164556962025,0,0,242,158,0
1.3,1,20,0.639344262295082,0.639344262295082,0,0,156,244,0
1.3,2,20,0.801801801801802,0.801801801801802,1.11022302462516e-16,2.22044604925031e-16,178,222,0
1.3,3,20,1.5974025974026,1.5974025974026,0,0,246,154,0
1.3,4,20,0.556420233463035,0.556420233463035,0,0,143,257,0
1.3,5,20,1.35294117647059,1.35294117647059,2.22044604925031e-16,2.22044604925031e-16,230,170,0
1.3,6,20,2.10077519379845,2.10077519379845,4.44089209850063e-16,2.22044604925031e-16,271,129,0
1.3,7,20,2.44827586206897,2.44827586206897,4.44089209850063e-16,-2.22044604925031e-16,284,116,0
1.3,8,20,1.23463687150838,1.23463687150838,2.22044604925031e-16,2.22044604925031e-16,221,179,0
1.3,9,20,0.762114537444934,0.762114537444934,0,0,173,227,0
1.3,10,20,1.96296296296296,1.96296296296296,2.22044604925031e-16,2.22044604925031e-16,265,135,0
1.3,11,20,1.48447204968944,1.48447204968944,0,0,239,161,0
1.3,12,20,1.10526315789474,1.10526315789474,0,0,210,190,0
1.3,13,20,4.26315789473684,4.26315789473684,0,0,324,76,0
1.3,14,20,1.77777777777778,1.77777777777778,2.22044604925031e-16,-1.11022302462516e-16,256,144,0
1.3,15,20,2.17460317460317,2.17460317460317,4.44089209850063e-16,-2.22044604925031e-16,274,126,0
1.3,16,20,1.02020202020202,1.02020202020202,0,0,202,198,0
1.3,17,20,1.66666666666667,1.66666666666667,0,0,250,150,0
1.3,18,20,1.38095238095238,1.38095238095238,0,0,232,168,0
1.3,19,20,1.22222222222222,1.22222222222222,0,0,220,180,0
1.3,20,20,1.91970802919708,1.91970802919708,2.22044604925031e-16,2.22044604925031e-16,263,137,0
1.5,1,20,2.6036036036036,2.6036036036036,0,0,289,111,0
1.5,2,20,1.58064516129032,1.58064516129032,2.22044604925031e-16,-1.11022302462516e-16,245,155,0
1.5,3,20,0.694915254237288,0.694915254237288,0,0,164,236,0
1.5,4,20,1.96296296296296,1.96296296296296,2.22044604925031e-16,2.22044604925031e-16,265,135,0
1.5,5,20,1.17391304347826,1.17391304347826,0,0,216,184,0
1.5,6,20,4.97014925373134,4.97014925373134,8.88178419700125e-16,2.22044604925031e-16,333,67,0
1.5,7,20,1.17391304347826,1.17391304347826,0,0,216,184,0
1.5,8,20,1.11640211640212,1.11640211640212,2.22044604925031e-16,2.22044604925031e-16,211,189,0
1.5,9,20,1.10526315789474,1.10526315789474,0,0,210,190,0
1.5,10,20,0.476014760147601,0.476014760147601,0,0,129,271,0
1.5,11,20,1.38095238095238,1.38095238095238,0,0,232,168,0
1.5,12,20,1.25988700564972,1.25988700564972,0,0,223,177,0
1.5,13,20,1.05128205128205,1.05128205128205,0,0,205,195,0
1.5,14,20,1.17391304347826,1.17391304347826,0,0,216,184,0
1.5,15,20,1.11640211640212,1.11640211640212,2.22044604925031e-16,2.22044604925031e-16,211,189,0
1.5,16,20,0.801801801801802,0.801801801801802,1.11022302462516e-16,2.22044604925031e-16,178,222,0
1.5,17,20,1.96296296296296,1.96296296296296,2.22044604925031e-16,2.22044604925031e-16,265,135,0
1.5,18,20,4.47945205479452,4.47945205479452,0,0,327,73,0
1.5,19,20,2.125,2.125,0,0,272,128,0
1.5,20,20,1.02020202020202,1.02020202020202,0,0,202,198,0
