"scenario_type","true_wr","design_wr","wager_wr","wager_lambda","true_d","design_d","policy","wager_misspecification","n_pairs","n_patients","design_method","rejection_rate","se","median_crossing","median_final_evalue","median_seq_wr_crossing","median_seq_wr_final","median_all_pairs_wr_crossing","median_all_pairs_wr_final","median_wr_exaggeration_vs_true","wr_exaggeration_vs_true_q25","wr_exaggeration_vs_true_q75","wr_exaggeration_vs_true_q90","median_wr_exaggeration_vs_final","target_power","alpha","n_sims"
"null",1,1.1,NA,NA,0,0.0844527324219911,"adaptive_full_kelly","adaptive",2305,4610,"Yu-Ganju WR",0.034,0.00573096850453743,175,0.112812341598827,0.848679476587693,0.997400346620451,0.912918188565844,1.00022588569848,NA,NA,NA,NA,0.974900984275961,0.8,0.05,1000
"null",1,1.1,1.1,0.0476190476190477,0,0.0844527324219911,"fixed_design","design_under_null",2305,4610,"Yu-Ganju WR",0.017,0.00408790900094413,1218,0.0696688988033993,1.16341030195382,0.999132697311362,1.09736656454511,0.99825487334301,NA,NA,NA,NA,1.02481335571849,0.8,0.05,1000
"null",1,1.2,NA,NA,0,0.161482391852927,"adaptive_full_kelly","adaptive",630,1260,"Yu-Ganju WR",0.026,0.00503229569878401,99.5,0.21460936751028,1.00659299042897,1,0.984118132441497,0.99939549649928,NA,NA,NA,NA,0.937401713893449,0.8,0.05,1000
"null",1,1.2,1.2,0.0909090909090909,0,0.161482391852927,"fixed_design","design_under_null",630,1260,"Yu-Ganju WR",0.026,0.00503229569878401,347,0.0732319932950177,1.33195839311334,1,1.20508862475885,1.00292187680467,NA,NA,NA,NA,1.1103384647347,0.8,0.05,1000
"null",1,1.3,NA,NA,0,0.232229108033415,"adaptive_full_kelly","adaptive",305,610,"Yu-Ganju WR",0.022,0.00463853425124791,139.5,0.308731154838707,1.60040763784596,1.00657894736842,1.34987779695739,0.998667918579116,NA,NA,NA,NA,1.09962049501061,0.8,0.05,1000
"null",1,1.3,1.3,0.130434782608696,0,0.232229108033415,"fixed_design","design_under_null",305,610,"Yu-Ganju WR",0.023,0.00474035863622153,164,0.064054293112713,1.52307692307692,0.993464052287582,1.28009494743981,0.995580869253839,NA,NA,NA,NA,1.10123130318549,0.8,0.05,1000
"null",1,1.5,NA,NA,0,0.358286909242583,"adaptive_full_kelly","adaptive",128,256,"Yu-Ganju WR",0.008,0.00281709069786544,63.5,0.482857779552878,0.538732394366197,1,0.639412276187603,1.00256677396467,NA,NA,NA,NA,0.883163975577533,0.8,0.05,1000
"null",1,1.5,1.5,0.2,0,0.358286909242583,"fixed_design","design_under_null",128,256,"Yu-Ganju WR",0.031,0.00548078461536302,90,0.073343041255962,1.73529411764706,1,1.43464653902798,0.99695289912235,NA,NA,NA,NA,1.18023246515155,0.8,0.05,1000
"alternative",1.1,1.1,NA,NA,0.0844527324219911,0.0844527324219911,"adaptive_full_kelly","adaptive",2305,4610,"Yu-Ganju WR",0.311,0.0146382717559144,1042,1.05893909950059,1.21729490022173,1.09927140255009,1.18223643221675,1.10154201666081,1.07476039292432,1.04570143431131,1.1304073465884,1.26539898117825,1.03518362692089,0.8,0.05,1000
"alternative",1.1,1.1,1.05,0.024390243902439,0.0844527324219911,0.0844527324219911,"fixed_under","underestimated",2305,4610,"Yu-Ganju WR",0.249,0.0136747577675073,1874,7.1940632098169,1.16898148148148,1.09927140255009,1.14795942073001,1.10165798083492,1.04359947339092,1.02643490344694,1.06691948731289,1.09152916016613,1.00703038637293,0.8,0.05,1000
"alternative",1.1,1.1,1.1,0.0476190476190477,0.0844527324219911,0.0844527324219911,"fixed_matched","matched",2305,4610,"Yu-Ganju WR",0.562,0.0156893594515519,1295,13.171542264689,1.15653632834165,1.09927140255009,1.13941027313776,1.0978813206882,1.03582752103433,1.01311271838942,1.0687971281898,1.11485283361522,1.0156270440975,0.8,0.05,1000
"alternative",1.1,1.1,1.2,0.090909090909091,0.0844527324219911,0.0844527324219911,"fixed_over","overestimated",2305,4610,"Yu-Ganju WR",0.546,0.015744332313566,788,2.08923446653215,1.19278744786617,1.10310218978102,1.15936513289573,1.10262029981564,1.05396830263248,1.02957825549484,1.10833539465964,1.18607828966584,1.03974737642021,0.8,0.05,1000
"alternative",1.2,1.2,NA,NA,0.161482391852927,0.161482391852927,"adaptive_full_kelly","adaptive",630,1260,"Yu-Ganju WR",0.356,0.0151414662433993,303.5,2.16585689616362,1.42224692044086,1.2027972027972,1.3439238914148,1.20362885485625,1.119936576179,1.06463223714059,1.20735891941831,1.33392783821613,1.05750351151862,0.8,0.05,1000
"alternative",1.2,1.2,1.1,0.0476190476190477,0.161482391852927,0.161482391852927,"fixed_under","underestimated",630,1260,"Yu-Ganju WR",0.279,0.0141830532678969,522,7.75934889930033,1.34080717488789,1.2027972027972,1.30238911994171,1.2000620980905,1.08532426661809,1.04907258425076,1.12632340434607,1.18515288527795,1.01293842848237,0.8,0.05,1000
"alternative",1.2,1.2,1.2,0.0909090909090909,0.161482391852927,0.161482391852927,"fixed_matched","matched",630,1260,"Yu-Ganju WR",0.57,0.0156556698994326,376,14.4862838504839,1.30909090909091,1.2027972027972,1.28193548824879,1.20070862496042,1.06827957354066,1.0274299352535,1.12482182980136,1.20920505624325,1.0297862317782,0.8,0.05,1000
"alternative",1.2,1.2,1.4,0.166666666666667,0.161482391852927,0.161482391852927,"fixed_over","overestimated",630,1260,"Yu-Ganju WR",0.514,0.0158051890213309,238,2.42024461951858,1.38,1.2027972027972,1.32075108883669,1.20054389943396,1.10062590736391,1.04069788951084,1.19638365285726,1.34391812865497,1.05804589865112,0.8,0.05,1000
